var;0;1;2;3;4;5;6;7;8;9;10
138;15;-16:2:a:a;0;f1;1;d;9;3:1:1:1:2:4:3:1;31:33:33:33:31;7:1:0:4;9:7:1:9
139;0;4:c:2:c;1;f1;1;j;7;8:11:1:2:9:3:3:11;415:413:415:413:615;8:4:2:9;13:7:8:4
140;0;d:d:2:1;1;ff0;0;b;5;10:5:0:9:1:9:9:5;30:31:3-1:30:3-1;18:6:9:8;3:3:4:2
141;0;-14:b:4:b;0;ff1;1;g;6;8:8:0:2:5:8:8:8;644:644:624:844:624;9:2:2:2;12:8:7:8
142;0;c:c:3:38;1;f1;1;w;8;6:0:1:3:7:9:6:0;416:413:413:416:716;20:2:5:4;9:2:7:3
143;60;42:d:d:2;0;f0;1;q;7;1:1:1:4:5:9:9:1;411:411:413:413:211;11:7:6:8;17:5:0:5
144;0;b:4:b:-44;1;f1;0;v;7;-3:8:1:4:3:2:-3:8;22:42:44:42:22;2:0:1:4;6:2:9:4
145;1;66:3:a:a;1;f0;0;t;1;2:12:1:4:6:5:5:12;44:42:42:22:44;9:1:1:8;13:6:5:3
146;8;a:a:5:-50;0;ff1;1;m;8;13:1:1:2:4:5:13:1;412:413:412:312:413;35:9:7:6;13:2:1:4
147;0;d:d:5:-43;1;f1;1;a;1;1:1:1:6:5:9:9:1;31:33:13:31:11;15:1:5:3;24:8:1:9
148;0;22:a:8:a;0;ff1;0;s;0;9:1:1:8:7:3:3:1;433:413:433:633:413;16:5:12:2;11:7:2:9
149;1;-8:c:4:c;1;f0;1;e;7;8:8:0:5:9:4:8:8;13:33:13:11:11;11:4:4:5;9:1:0:7
150;0;78:8:b:b;0;f1;0;c;4;4:6:1:3:8:1:4:6;443:443:743:413:413;5:-1:5:0;20:5:4:7
151;0;-118:c:c:8;0;ff1;0;d;0;-6:4:0:3:8:1:1:4;324:321:321:324:624;8:4:0:0;11:8:5:2
152;0;-9:b:b:9;0;ff0;0;f;3;6:15:0:5:11:8:8:15;31:11:13:33:31;14:5:6:7;16:9:5:3
153;60;6:b:b:5;1;ff1;0;k;7;-2:7:0:3:5:2:-2:7;00:0-1:01:01:00;12:2:4:7;21:1:8:6
154;0;56:c:c:8;0;f1;1;d;5;3:3:0:8:5:7:3:3;33:33:31:31:11;10:5:3:4;12:9:4:7
155;1;51:c:3:c;0;f1;1;j;1;1:1:1:2:8:1:1:1;416:716:416:413:413;11:3:3:4;20:2:7:0
156;0;c:c:3:38;1;ff0;0;s;9;9:-3:1:7:4:6:6:-3;44:42:44:22:42;9:6:2:3;9:1:0:3
157;480;-23:b:5:b;0;f1;0;c;5;8:8:1:1:3:9:8:8;22:42:44:22:42;8:0:6:7;15:2:2:3
158;1;9:b:b:10;0;f0;1;n;4;8:10:0:7:1:2:8:10;314:312:314:312:514;4:0:-2:1;15:1:4:8
159;0;21:b:b:6;0;f1;0;k;6;-1:7:1:2:5:1:1:7;443:743:443:413:413;61:28:5:5;16:6:3:0
160;45;c:c:6:7;1;ff0;1;q;0;9:-1:0:3:5:4:4:-1;415:415:413:615:413;10:0:7:1;21:6:9:3
161;0;-45:d:d:5;0;f1;0;q;7;15:15:1:1:1:7:15:15;30:30:3-1:31:3-1;12:5:3:3;3:2:5:0
162;0;b:4:b:-44;1;ff1;1;z;8;5:9:0:2:5:6:6:9;644:844:644:624:624;8:5:0:4;19:1:9:8
163;0;4:c:2:c;1;f0;0;y;5;1:10:1:3:2:7:1:10;31:33:33:33:31;43:9:4:6;9:2:7:3
164;0;44:a:9:a;1;ff1;1;c;1;-1:-1:1:2:6:9:9:-1;13:11:13:11:33;8:1:1:7;9:1:9:5
165;300;-29:6:d:d;1;f0;0;h;7;4:4:1:4:8:7:4:4;433:413:413:433:633;-1:1:9:4;17:5:1:6
166;12;42:d:d:2;0;f1;0;u;9;7:7:0:4:3:1:7:7;412:312:413:412:413;11:8:9:1;9:2:6:9
167;0;95:a:5:a;0;f1;1;i;5;16:16:1:6:2:3:3:16;411:411:413:413:211;12:5:7:1;6:1:4:4
168;1;-16:2:a:a;1;f1;1;u;4;6:-4:1:1:5:7:7:-4;22:42:44:42:22;20:3:8:4;12:3:6:2
169;0;c:c:3:21;0;ff1;1;m;2;5:5:1:8:8:3:5:5;30:3-1:3-1:30:31;11:7:2:0;12:0:5:7
170;6;7:a:8:a;1;ff0;0;g;0;3:3:1:9:3:8:8:3;33:11:33:31:31;6:1:7:1;14:4:2:1
171;0;-14:b:4:b;0;f1;0;e;4;-3:-3:1:3:1:2:-3:-3;433:433:413:413:633;15:9:5:1;15:1:0:5
172;0;d:d:2:1;0;ff1;0;w;6;-6:-6:1:3:11:5:5:-6;644:624:624:844:644;9:8:2:5;17:1:6:3
173;0;a:6:a:7;1;ff0;0;o;1;7:7:1:7:4:8:7:7;415:615:413:413:415;4:1:2:2;13:0:7:6
174;0;8:d:d:23;0;f1;0;t;3;-4:-4:0:3:1:8:-4:-4;31:31:33:33:33;34:15:8:4;10:0:1:3
175;0;b:b:8:74;1;f0;0;r;3;9:7:1:2:9:6:6:7;416:413:716:416:413;10:6:5:8;13:9:1:5
176;0;21:6:c:c;1;f1;1;v;8;-2:-2:0:2:4:9:9:-2;412:312:413:412:413;19:2:2:7;16:0:6:9
177;0;6:4:a:a;0;f1;1;s;9;7:7:1:4:1:3:7:7;00:01:01:0-1:00;4:9:1:6;13:4:3:3
178;0;d:d:5:-43;0;ff1;0;s;7;2:2:1:7:5:1:2:2;324:324:321:624:321;12:5:4:2;23:5:2:0
179;0;a:7:a:-33;0;f0;1;h;9;5:5:0:4:6:4:4:5;13:33:13:11:11;15:9:4:9;13:3:8:7
180;0;1:d:9:d;0;f1;0;j;7;16:16:1:5:8:3:16:16;31:31:13:11:33;2:0:-1:1;12:8:7:1
181;12150;-36:6:d:d;1;f0;1;e;0;2:1:0:6:8:5:5:1;314:312:312:514:314;10:4:5:0;16:4:3:2
182;0;147:3:a:a;1;f1;0;b;6;2:2:1:9:3:6:2:2;411:411:211:413:413;1:-2:2:9;22:5:0:3
183;0;-62:3:b:b;1;f0;1;s;6;9:9:1:3:5:2:2:9;44:44:22:42:42;38:7:18:1;13:8:5:4
184;0;66:3:a:a;1;ff1;1;i;5;9:5:1:5:6:2:2:5;443:413:413:443:743;45:5:4:1;3:3:8:1
185;24;d:d:6:21;0;f0;1;g;5;6:6:1:5:5:8:6:6;433:413:433:413:633;11:5:9:0;10:5:1:8
186;0;-31:d:5:d;0;f1;0;a;2;7:3:0:7:5:9:7:3;644:844:624:644:624;12:6:8:3;10:0:6:9
187;0;-59:5:b:b;0;f0;1;n;3;2:2:1:2:6:8:8:2;416:416:716:413:413;17:4:8:7;16:1:4:9
188;0;-12:d:d:6;1;ff1;1;v;8;4:12:0:3:3:6:4:12;22:42:44:42:22;-6:-4:2:6;21:2:2:8
189;0;a:a:5:-50;0;f1;1;p;0;-3:2:1:9:7:5:5:2;31:13:33:11:31;9:4:7:3;16:8:5:6
190;0;-22:b:5:b;1;ff0;1;y;9;1:1:1:6:6:3:1:1;44:42:44:22:42;10:5:3:2;21:6:4:3
191;3600;80:c:8:c;0;ff1;1;q;9;15:15:0:2:7:8:8:15;13:33:11:11:13;14:7:8:1;21:2:3:0
192;0;-51:c:3:c;0;ff1;1;l;5;4:5:0:5:6:2:2:5;411:411:413:211:413;10:3:1:2;12:5:8:8
193;432;61:c:7:c;0;ff0;1;x;4;1:8:1:9:9:4:1:8;324:321:624:324:321;11:0:8:5;8:1:4:3
194;0;b:4:b:-80;0;f1;0;l;5;5:5:0:9:7:6:5:5;412:412:312:413:413;16:6:4:7;17:8:5:1
195;0;103:4:d:d;1;ff1;0;n;6;3:6:1:7:9:3:3:6;415:413:615:413:415;7:2:7:9;7:0:8:2
196;6;b:b:8:74;1;f1;1;e;7;1:9:0:1:2:7:1:9;443:443:413:743:413;6:3:9:5;5:1:6:1
197;67;147:3:a:a;0;f1;0;w;6;3:10:1:8:8:7:7:10;33:31:31:11:33;26:6:4:2;9:8:3:4
198;1;1:d:9:d;0;ff1;1;y;8;5:10:1:2:1:9:9:10;314:314:514:312:312;12:1:2:6;13:9:5:7
199;0;9:b:b:10;0;ff1;0;v;4;5:5:0:11:2:1:5:5;00:00:01:0-1:01;14:1:10:0;10:8:4:1
200;0;d:d:6:21;0;ff1;1;c;7;9:9:0:5:9:3:9:9;30:3-1:30:31:3-1;10:0:2:1;16:0:5:8
201;0;c:c:6:7;1;ff1;1;g;8;2:2:1:3:5:8:8:2;31:33:31:33:33;11:4:9:3;12:1:1:8
202;20;66:3:a:a;1;f1;0;m;5;6:16:0:2:4:8:6:16;00:0-1:00:01:01;12:1:6:6;23:3:0:7
203;0;103:4:d:d;1;f0;1;m;1;2:2:1:7:2:9:9:2;412:413:412:413:312;12:9:8:4;15:5:2:8
204;0;c:c:3:21;1;ff0;0;m;2;6:6:0:2:9:3:6:6;416:413:413:416:716;10:7:0:6;9:0:5:6
205;0;80:c:8:c;1;ff1;1;q;9;7:-2:1:8:-1:4:4:-2;644:624:644:844:624;10:2:4:3;19:4:3:6
206;120;-23:b:5:b;0;f1;0;k;6;2:2:0:5:11:6:6:2;411:413:211:411:413;13:6:4:6;15:7:0:3
207;0;56:c:c:8;0;ff1;1;b;3;13:13:0:2:4:3:13:13;22:42:42:44:22;10:4:7:5;15:9:8:3
208;0;-29:6:d:d;1;f0;1;e;1;9:9:0:2:7:8:8:9;31:13:31:11:33;1:0:8:1;11:6:1:7
209;0;a:a:5:-50;1;f1;0;o;9;-2:-2:1:2:4:1:-2:-2;31:33:33:33:31;14:5:8:6;19:7:3:4
210;5;4:c:2:c;0;ff1;0;m;6;9:13:1:7:8:3:9:13;44:22:44:42:42;9:1:5:2;6:2:5:1
211;72;-36:6:d:d;1;ff0;1;b;5;-1:6:0:7:2:6:6:6;324:324:321:321:624;11:4:9:2;21:6:8:0
212;3;-14:b:4:b;0;f1;1;l;8;11:11:1:5:8:1:1:11;33:31:31:33:11;7:5:1:6;15:9:7:8
213;2;-12:d:d:6;1;ff1;0;g;0;3:3:0:3:7:5:3:3;13:11:33:11:13;51:2:10:5;7:2:2:4
214;0;-22:b:5:b;1;ff1;1;d;0;17:17:0:9:5:7:17:17;415:615:413:413:415;28:10:9:3;12:1:5:6
215;3;b:4:b:-80;1;f1;0;c;0;1:6:1:4:7:1:1:6;433:633:413:433:413;6:6:5:4;18:5:0:2
216;0;21:b:b:6;0;f1;1;h;3;12:4:1:5:6:6:12:4;443:413:743:413:443;12:0:5:4;16:4:2:1
217;0;d:d:5:-43;1;f0;1;x;2;6:6:1:9:3:7:7:6;314:514:312:312:314;6:6:8:9;18:3:0:6
218;0;d:d:2:1;1;f1;0;u;4;4:1:0:8:9:7:7:1;30:30:31:3-1:3-1;7:2:5:0;18:1:2:4
219;48;78:8:b:b;0;ff0;0;j;1;-4:-4:0:3:-1:2:-4:-4;324:624:324:321:321;10:1:5:3;21:0:5:1
220;0;-31:d:5:d;0;ff1;1;w;1;-1:-1:1:8:9:3:-1:-1;314:514:312:312:314;14:8:0:6;14:5:2:7
221;1;b:4:b:-44;1;f1;0;z;9;3:8:0:7:6:9:9:8;22:42:42:44:22;8:5:3:5;18:0:1:2
222;40;-45:d:d:5;1;ff1;0;d;5;8:7:0:3:9:2:2:7;30:3-1:3-1:31:30;8:2:7:2;23:5:9:6
223;1;42:d:d:2;1;f1;1;r;7;6:-7:1:8:4:2:6:-7;31:31:33:13:11;11:3:1:9;8:7:9:2
224;2;c:c:3:38;1;f1;1;o;9;4:4:0:7:9:3:3:4;433:413:433:633:413;13:3:6:1;14:6:4:1
225;0;6:4:a:a;0;f0;0;f;3;-5:2:1:5:4:8:-5:2;415:413:415:615:413;15:6:3:4;9:6:1:2
226;240;-8:c:4:c;1;ff1;1;w;7;-4:-4:1:5:7:3:3:-4;44:44:42:22:42;23:8:10:4;10:7:1:3
227;0;44:a:9:a;0;f1;0;t;6;9:9:0:6:8:3:9:9;416:716:416:413:413;8:2:6:8;7:5:8:1
228;0;-118:c:c:8;1;ff1;0;y;1;6:9:1:6:1:8:8:9;644:624:644:844:624;14:7:2:0;17:9:6:1
229;24;-9:b:b:9;1;f1;1;h;7;6:6:1:3:11:9:6:6;13:11:33:13:11;12:4:9:4;14:4:9:2
230;2;a:6:a:7;0;ff1;0;o;0;9:6:0:8:5:7:7:6;00:01:00:0-1:01;10:6:0:3;10:9:5:6
231;3;-62:3:b:b;1;ff1;1;q;9;3:-6:1:5:2:6:3:-6;412:412:312:413:413;9:5:2:2;16:6:9:5
232;40;51:c:3:c;0;ff1;0;w;8;-3:-3:1:3:1:1:-3:-3;33:31:31:33:11;17:3:8:0;9:1:7:8
233;0;7:a:8:a;1;f1;1;z;2;15:15:1:5:4:9:9:15;31:33:33:31:33;10:4:4:2;16:4:4:5
234;0;22:a:8:a;0;ff1;1;h;3;3:3:0:6:8:1:3:3;411:413:211:413:411;2:0:8:5;21:9:3:6
235;1500;a:7:a:-33;0;f1;0;o;3;11:4:0:5:1:5:5:4;443:413:413:443:743;5:2:1:0;15:0:5:2
236;0;-59:5:b:b;0;f1;1;u;3;10:10:1:5:2:1:1:10;433:413:413:433:633;14:4:6:7;12:3:8:2
237;0;6:b:b:5;1;ff1;0;k;2;4:3:1:5:4:3:4:3;314:314:312:312:514;15:10:0:1;17:9:5:4
238;135;-16:2:a:a;1;f1;0;f;0;2:8:1:6:8:1:1:8;33:31:31:33:11;14:5:5:9;16:8:5:4
239;0;61:c:7:c;0;ff0;1;j;9;-4:8:0:6:4:3:-4:8;415:413:413:415:615;9:1:2:7;4:7:9:1
240;0;-51:c:3:c;0;f1;1;r;2;5:5:1:1:10:4:5:5;31:13:31:33:11;7:3:1:6;6:4:9:3
241;0;95:a:5:a;1;f1;1;p;4;9:-1:0:7:9:8:8:-1;412:312:413:413:412;1:-1:9:3;10:5:1:5
242;48;8:d:d:23;1;f0;1;p;5;4:6:1:5:2:5:4:6;31:33:33:31:33;17:3:8:6;17:5:2:8
243;1;21:6:c:c;1;ff1;1;i;5;6:3:1:3:9:3:3:3;22:42:22:44:42;17:6:2:5;16:9:7:5
244;0;56:c:c:8;0;ff1;1;h;8;9:9:0:3:6:8:9:9;411:211:411:413:413;4:1:6:4;9:4:8:1
245;0;80:c:8:c;0;f1;0;w;3;0:4:1:1:2:9:9:4;324:321:324:624:321;0:8:-3:9;13:3:7:8
246;0;-22:b:5:b;1;ff1;0;b;7;8:8:0:7:3:4:8:8;44:22:42:44:42;12:4:3:0;13:2:1:4
247;0;b:b:8:74;1;ff1;1;x;1;1:3:1:8:0:5:5:3;443:743:413:413:443;19:10:4:5;24:2:9:0
248;1;51:c:3:c;0;f1;0;y;2;9:2:0:1:8:4:4:2;13:13:11:11:33;9:5:6:2;18:6:8:1
249;54;1:d:9:d;1;f0;1;b;2;8:8:0:8:7:3:8:8;30:3-1:31:30:3-1;15:2:9:7;11:6:9:5
250;3;-59:5:b:b;1;ff1;1;e;4;6:5:1:9:2:4:4:5;644:624:644:624:844;12:7:6:5;10:4:2:0
