55;1000;1010;1000;0000;0100;1010;1101;0000;0010;1111
56;0010;0000;0010;1001;0111;0101;1111;0101;0010;1111
57;1000;0010;0001;1010;1001;1101;1000;1111;0100;1111
58;0010;1100;0100;1000;1010;1111;1010;1101;0000;1111
59;0001;1010;1000;0100;0100;1010;1100;0111;0011;1111
60;0100;0111;0001;1110;1000;1011;0000;1111;0001;1111
61;0010;0000;0100;1111;1001;0110;1010;1010;0010;1111
62;0100;1101;0100;0001;0111;1001;1111;1000;1001;1111
63;0001;1111;0010;1000;1110;1111;1111;0010;0000;1111
64;1000;0100;1000;0001;1010;0001;1011;0100;0100;1111
65;0010;1110;0001;0011;1100;0100;1011;0101;1000;1111
66;1000;1000;1000;0000;1101;0001;1010;1100;0000;1111
67;0001;0111;0010;0011;0011;0111;1001;1111;0101;1111
68;1000;0100;0001;0010;1111;0010;1011;0100;0100;1111
69;1000;0100;0001;1010;1011;1100;0011;1101;1100;1111
70;1000;1011;0100;0111;1000;1001;0111;0000;0000;1111
71;1000;0011;0100;0000;0100;0101;0010;1111;1000;1111
72;1000;0101;0100;0010;0010;1001;1010;1001;1000;1111
73;0100;1010;0001;1000;1000;0111;0011;1010;0010;1111
74;0010;1000;0100;1100;1010;1111;0011;0001;0001;1111
75;1000;1011;0010;0001;1110;0011;1111;0101;0001;1111
76;0100;0101;0001;0000;1100;1100;0101;0110;1001;1111
77;1000;0111;1000;1011;1000;1001;0001;0001;0101;1111
78;0010;1100;1000;0110;1000;0101;0110;1110;0000;1111
79;0001;0100;1000;0000;1111;0011;0111;0001;0000;1111
80;0010;1001;1000;1010;1010;1111;0011;1111;0010;1111
81;0001;1000;1000;1011;0001;0101;1110;0100;0110;1111
82;1000;1010;0100;0000;1110;1111;1001;0110;0100;1111
83;1000;0001;0100;0010;0011;0010;1101;0101;0001;1111
84;0001;1111;0010;1011;0100;0011;1101;0101;0000;1111
85;0010;0001;0010;0100;0111;0101;1110;0111;1000;1111
86;0001;1110;0001;0100;1011;1111;0000;1000;0000;1111
87;1000;0010;1000;1001;0011;0001;1011;1100;0010;1111
88;0001;0111;0010;0001;1100;0100;1101;0111;1000;1111
89;1000;0111;0010;0100;0011;0101;0111;1101;1000;1111
90;0100;1101;0100;0111;1011;1111;0101;0101;1010;1111
91;0001;0000;0100;1011;0111;0101;1110;0000;0000;1111
92;0010;0101;1000;0001;0001;1010;1010;0111;0010;1111
93;1000;1010;0010;0010;0101;1011;1011;1011;1100;1111
94;0100;0110;0001;1100;0011;1110;1101;1011;0000;1111
95;1000;0110;0100;1000;0100;1111;0100;1001;1010;1111
96;0001;1100;0100;1000;0010;0010;1110;0011;0000;1111
97;1000;1010;0100;0011;0001;0111;1001;1000;0100;1111
98;1000;0100;0100;0001;1000;0101;0100;1001;1000;1111
99;0100;0011;0010;1100;1011;0011;0110;0100;1000;1111
100;1000;1110;0100;1010;1001;1011;1101;1000;1100;1111
