var;1;2;3;4;5;6;7;8;9;10;11;12
20;48;51:c:3:c;0;f1;0;s;0;2:15:15:8:7:2:15;11:7:4:2;12:5:2:1;644:624:644:624:844;empty
21;0;-23:b:5:b;0;f1;1;y;7;5:3:16:-1:9:5:3;4:2:8:9;5:3:9:2;412:412:312:413:413;empty
22;0;6:b:b:5;0;ff1;0;k;9;7:10:14:3:5:5:10;11:5:1:7;21:0:9:5;415:413:415:615:413;empty
23;60;-9:b:b:9;1;f0;0;h;0;6:6:17:6:9:9:6;11:6:2:4;14:7:3:9;31:31:33:11:13;empty
24;6;b:b:8:74;1;f1;1;u;4;3:-8:05:3:8:3:-8;13:6:3:7;8:4:1:2;31:33:33:31:33;empty
25;3;-118:c:c:8;1;ff1;0;l;2;11:11:05:3:7:11:11;9:3:0:9;16:8:4:5;44:42:22:42:44;empty
26;80;d:d:2:1;0;ff1;0;x;9;6:-1:14:6:5:5:-1;12:2:3:8;24:9:4:2;324:321:324:624:321;empty
27;0;a:7:a:-33;1;ff0;0;a;5;2:-6:16:3:4:4:-6;33:6:1:7;10:5:1:6;416:413:716:416:413;empty
28;1;42:d:d:2;1;f1;1;w;2;10:1:07:2:5:10:1;5:3:5:3;15:7:5:1;443:413:413:743:443;empty
29;0;6:4:a:a;1;f1;0;l;0;3:3:1-1:9:6:6:3;44:2:7:4;8:3:6:5;30:3-1:3-1:30:31;empty
30;0;56:c:c:8;1;f1;1;j;7;7:-5:08:2:6:7:-5;6:8:3:3;9:1:4:9;22:44:42:42:22;empty
31;0;-59:5:b:b;1;ff1;1;v;3;9:5:15:3:9:9:5;10:2:3:3;16:6:9:3;13:11:33:13:11;empty
32;0;a:6:a:7;0;f0;1;m;1;-1:-1:06:3:8:-1:-1;3:4:0:1;14:2:4:9;314:514:312:314:312;empty
33;0;d:d:5:-43;0;f1;1;x;4;-2:-2:02:6:9:9:-2;38:4:1:2;3:7:8:2;411:413:211:411:413;empty
34;1;103:4:d:d;1;f1;0;t;0;6:6:010:4:2:6:6;18:4:7:3;14:1:9:6;433:413:433:633:413;empty
35;0;d:d:6:21;1;ff1;0;n;3;7:7:15:1:9:9:7;1:2:-4:6;10:1:3:2;44:42:44:42:22;empty
36;1;-8:c:4:c;1;ff0;1;r;8;-2:-2:07:2:6:-2:-2;15:7:6:3;12:8:9:4;412:413:412:413:312;empty
37;3000;-29:6:d:d;1;ff0;1;q;8;-7:-7:05:3:6:6:-7;14:4:7:9;9:3:1:4;13:11:33:11:13;empty
38;0;22:a:8:a;0;ff1;1;e;4;11:11:111:8:7:11:11;9:3:2:4;17:4:3:9;31:33:33:31:33;empty
39;0;80:c:8:c;0;ff1;1;o;5;1:6:17:2:6:1:6;43:9:6:3;19:1:4:6;314:312:514:312:314;empty
40;0;66:3:a:a;0;f1;1;t;3;4:4:04:7:5:5:4;12:3:2:4;5:9:6:1;443:413:443:413:743;empty
41;0;9:b:b:10;1;f0;0;u;1;4:4:09:2:2:2:4;4:2:3:8;15:3:1:7;324:324:321:321:624;empty
42;0;b:4:b:-80;1;f1;0;g;6;-4:8:11:5:6:-4:8;11:5:5:8;8:4:6:2;22:22:44:42:42;empty
43;0;-14:b:4:b;0;f1;1;n;0;10:10:07:9:5:5:10;9:2:9:6;13:7:3:1;644:624:844:644:624;empty
44;0;8:d:d:23;1;ff1;0;z;2;2:-5:01:7:2:2:-5;17:5:6:1;15:9:4:4;416:716:413:413:416;empty
45;0;a:a:5:-50;0;ff0;1;p;9;-1:-1:05:1:8:8:-1;33:27:2:7;16:8:6:2;00:00:0-1:01:01;empty
46;0;61:c:7:c;1;f1;0;b;4;12:12:11:0:3:12:12;10:1:5:9;12:1:3:5;31:31:33:11:13;empty
47;0;4:c:2:c;1;ff1;0;w;7;3:3:17:2:5:3:3;9:5:8:6;6:5:6:3;433:633:413:433:413;empty
48;1;-36:6:d:d;0;ff1;1;k;4;9:9:01:6:8:8:9;-26:3:-15:4;19:9:7:8;411:211:413:411:413;empty
49;360;6:4:a:a;0;ff1;0;a;3;5:5:15:2:5:5:5;10:2:5:1;3:3:9:1;415:413:615:413:415;empty
50;0;a:7:a:-33;0;ff0;1;j;0;7:-1:16:4:8:8:-1;14:3:8:2;17:2:7:5;30:3-1:3-1:30:31;empty
51;0;-23:b:5:b;1;f0;0;x;5;3:3:03:7:9:9:3;9:0:6:8;15:7:9:8;33:33:31:31:11;empty
52;0;a:6:a:7;1;f1;1;s;3;4:-4:17:9:5:4:-4;16:5:8:7;17:6:1:0;415:413:413:415:615;empty
53;1;95:a:5:a;1;ff0;0;v;7;1:6:12:5:8:1:6;10:4:4:1;18:6:2:7;324:321:624:321:324;empty
54;0;-16:2:a:a;0;ff0;1;t;6;6:6:06:9:1:1:6;16:6:3:4;7:1:0:1;44:42:42:22:44;empty
55;6;7:a:8:a;0;ff1;0;u;2;4:4:16:6:2:4:4;8:3:5:1;20:5:4:9;644:624:624:844:644;empty
56;0;c:c:6:7;1;f1;1;y;4;1:1:01:4:8:8:1;9:7:0:5;14:7:9:2;443:413:443:743:413;empty
57;7;21:6:c:c;1;f0;1;e;7;2:-4:04:6:3:2:-4;12:5:7:4;18:8:3:6;00:0-1:00:01:01;empty
58;0;66:3:a:a;1;ff1;1;o;2;17:17:11:2:5:5:17;16:10:1:0;17:0:1:0;412:413:412:312:413;empty
59;1;a:a:5:-50;0;f1;1;b;9;7:2:18:3:7:7:2;41:36:7:2;12:7:9:2;30:3-1:3-1:31:30;empty
60;6750;d:d:2:1;0;f1;1;j;3;5:-4:01:6:4:5:-4;11:5:3:5;9:8:7:1;31:31:33:11:13;empty
61;0;80:c:8:c;0;ff1;0;i;1;5:5:18:6:7:7:5;14:6:8:5;12:8:3:9;433:633:413:413:433;empty
62;5;4:c:2:c;1;ff1;1;p;8;-1:-1:09:7:4:-1:-1;11:2:4:7;6:1:4:8;31:33:31:33:33;empty
63;0;9:b:b:10;0;f1;1;k;5;2:2:18:9:2:2:2;4:0:9:3;21:2:9:6;13:11:33:13:11;empty
64;0;-36:6:d:d;1;ff1;0;f;0;14:1:16:3:5:14:1;15:6:5:3;14:0:9:8;33:31:11:33:31;empty
65;2;6:b:b:5;0;ff0;1;m;6;13:13:010:2:3:13:13;33:7:27:2;4:7:3:2;416:716:413:413:416;empty
66;216;-12:d:d:6;1;f1;0;w;4;-4:-4:14:3:1:1:-4;2:5:-2:1;9:4:6:0;411:413:411:413:211;empty
67;0;8:d:d:23;1;f0;1;i;3;2:6:09:4:7:2:6;9:5:2:2;16:0:3:6;22:42:42:44:22;empty
68;50;22:a:8:a;1;ff1;1;b;6;5:5:13:9:5:5:5;11:2:1:4;16:7:1:9;314:314:312:514:312;empty
69;6;-31:d:5:d;0;ff1;1;a;1;16:16:01:10:7:16:16;10:6:6:7;17:0:5:7;314:514:312:314:312;empty
70;0;56:c:c:8;1;ff1;1;v;4;-1:-1:04:5:2:2:-1;34:15:0:1;11:3:0:1;415:415:413:413:615;empty
71;0;d:d:6:21;1;f1;0;o;2;3:8:16:3:5:5:8;10:-1:7:4;17:7:0:8;33:31:31:11:33;empty
72;32;b:4:b:-44;0;ff1;1;z;3;12:12:17:8:1:12:12;10:1:0:2;16:6:8:9;31:11:31:33:13;empty
73;0;-8:c:4:c;1;ff1;0;f;3;-1:8:10:5:9:9:8;16:7:3:2;10:2:0:9;31:33:31:33:33;empty
74;108;-51:c:3:c;0;f1;1;k;0;3:3:02:5:6:3:3;7:7:2:3;15:4:5:1;443:413:413:743:443;empty
75;0;-22:b:5:b;1;f1;1;d;4;1:17:11:9:8:1:17;8:5:-1:5;22:8:7:4;644:624:644:844:624;empty
76;3888;-118:c:c:8;0;ff1;0;h;1;-2:-2:14:3:7:7:-2;5:5:8:7;23:5:3:1;22:44:42:22:42;empty
77;0;d:d:5:-43;1;ff1;1;u;9;6:6:15:5:1:6:6;43:3:36:1;11:6:1:0;416:416:413:413:716;empty
78;0;78:8:b:b;0;ff0;1;m;9;5:5:02:3:8:8:5;8:5:2:7;10:4:2:0;411:413:413:411:211;empty
79;1;-45:d:d:5;0;f1;1;n;2;-6:5:07:4:7:7:5;17:7:8:6;14:8:1:8;324:324:321:321:624;empty
80;12;51:c:3:c;1;ff1;0;e;3;7:7:08:7:9:7:7;9:0:5:1;19:0:7:5;30:31:30:3-1:3-1;empty
81;9;c:c:3:21;1;f1;0;t;1;3:3:04:2:6:3:3;6:1:8:2;18:3:6:0;412:312:413:412:413;empty
82;0;-14:b:4:b;0;f1;0;w;9;15:15:08:9:2:2:15;13:0:5:4;8:1:3:7;13:33:13:11:11;empty
83;0;44:a:9:a;1;f0;1;c;4;2:2:08:5:6:2:2;44:1:6:2;15:4:1:5;433:413:433:413:633;empty
84;4;61:c:7:c;1;ff1;1;j;3;12:7:01:6:9:9:7;13:7:3:1;21:3:0:7;44:42:44:22:42;empty
85;0;-29:6:d:d;1;ff0;1;q;0;7:5:18:0:7:7:5;54:6:9:5;10:6:4:5;00:01:0-1:00:01;empty
86;0;-62:3:b:b;0;f1;0;o;4;6:-6:09:3:5:5:-6;10:9:4:1;17:1:0:2;416:416:716:413:413;empty
87;0;-59:5:b:b;0;ff1;0;g;0;1:1:09:4:8:1:1;11:4:6:4;10:8:3:0;22:22:44:42:42;empty
88;5400;21:b:b:6;0;ff1;0;i;8;11:3:16:3:8:8:3;7:1:6:0;20:0:6:2;412:412:312:413:413;empty
89;0;1:d:9:d;1;f1;0;a;6;-1:9:17:8:4:4:9;11:5:6:9;13:4:7:4;411:411:413:413:211;empty
90;0;c:c:3:38;1;ff0;1;z;7;3:7:07:9:1:3:7;11:2:4:2;9:5:8:3;415:413:413:415:615;empty
91;0;b:4:b:-80;0;ff1;0;d;4;1:15:16:2:3:1:15;14:5:8:0;15:5:6:4;00:01:00:01:0-1;empty
92;1;-9:b:b:9;0;ff0;0;k;5;3:4:08:3:9:9:4;14:6:5:7;7:0:9:5;30:3-1:31:3-1:30;empty
93;1;42:d:d:2;0;f1;1;m;1;-5:-5:19:5:9:9:-5;8:3:4:3;8:2:4:5;13:11:13:11:33;empty
94;3;b:b:8:74;1;ff1;1;h;1;5:5:13:2:2:5:5;10:5:4:1;7:1:6:3;443:413:413:743:443;empty
95;0;103:4:d:d;0;f0;0;w;1;4:4:17:3:9:9:4;6:3:3:3;13:4:2:7;314:514:312:312:314;empty
96;9;147:3:a:a;0;f1;1;i;6;11:3:16:7:1:11:3;11:9:4:8;10:5:3:9;33:11:31:33:31;empty
97;3;a:a:5:-50;1;f1;0;u;5;1:1:12:6:9:1:1;5:1:3:4;15:5:0:8;31:33:33:33:31;empty
98;0;78:8:b:b;1;f1;0;t;4;8:12:01:9:8:8:12;8:1:1:2;20:5:3:4;433:413:433:633:413;empty
99;0;-62:3:b:b;0;ff0;1;z;7;3:1:01:2:4:3:1;13:4:2:9;11:6:9:3;31:13:11:33:31;empty
100;4;b:4:b:-44;1;ff0;0;y;2;4:4:17:1:3:3:4;13:1:2:8;14:4:8:2;644:624:644:624:844;empty
101;0;-36:6:d:d;1;f1;0;n;5;2:1:15:4:8:8:1;10:9:3:3;10:1:3:4;44:42:44:42:22;empty
102;0;61:c:7:c;0;f1;1;p;3;10:5:09:6:8:10:5;3:2:4:2;11:9:2:0;324:324:321:321:624;empty
103;5;22:a:8:a;1;f0;0;f;1;-3:-3:17:3:3:3:-3;4:8:5:6;17:7:7:4;31:33:13:11:31;empty
104;0;7:a:8:a;1;ff1;1;q;4;6:9:04:8:7:6:9;11:4:4:1;15:9:8:2;412:413:413:412:312;empty
105;0;-16:2:a:a;1;f1;1;x;3;-2:-2:15:4:7:7:-2;14:11:3:1;23:4:7:6;443:443:413:743:413;empty
106;576;-22:b:5:b;0;ff0;1;n;0;15:15:02:7:6:15:15;3:3:2:2;12:5:2:6;644:844:624:644:624;empty
107;0;-9:b:b:9;0;ff1;1;z;6;3:13:18:5:3:3:13;10:6:3:5;16:0:9:4;411:413:411:413:211;empty
108;1;b:b:8:74;1;f0;0;c;3;1:8:11:3:9:9:8;11:5:3:7;17:1:9:8;33:11:33:31:31;empty
109;1;8:d:d:23;1;ff1;1;t;2;8:8:19:2:7:7:8;20:13:7:4;18:0:7:6;433:633:413:413:433;empty
110;1;a:6:a:7;1;ff1;0;u;5;1:3:15:1:7:1:3;13:0:5:4;12:2:4:0;324:324:624:321:321;empty
111;1215;-14:b:4:b;1;f1;1;y;9;8:9:13:2:4:4:9;6:9:-1:2;11:9:5:4;22:22:42:42:44;empty
112;20;b:4:b:-80;0;ff1;0;r;8;1:1:06:9:1:1:1;10:4:9:1;24:8:1:0;31:31:33:33:33;empty
113;0;21:b:b:6;0;f1;1;j;5;4:4:19:4:5:4:4;26:0:6:4;13:4:4:2;416:416:413:413:716;empty
114;0;-51:c:3:c;1;ff0;0;q;4;16:4:12:4:3:3:4;10:3:3:2;17:9:1:0;44:42:22:42:44;empty
115;8;c:c:6:7;1;ff1;0;v;0;8:2:011:3:5:5:2;13:7:9:6;11:3:4:8;314:514:312:312:314;empty
116;0;147:3:a:a;0;ff1;0;o;4;11:11:02:6:4:11:11;11:3:0:4;12:5:4:3;13:11:33:13:11;empty
117;0;21:6:c:c;1;f0;1;m;8;7:-4:03:2:3:7:-4;10:1:9:5;15:9:3:4;00:0-1:01:01:00;empty
118;2;d:d:2:1;1;ff1;0;b;5;7:8:02:9:5:5:8;3:4:-1:7;16:4:2:0;30:30:31:3-1:3-1;empty
119;1;c:c:3:38;0;f0;0;s;3;1:1:09:5:1:1:1;13:9:4:8;13:8:4:1;415:615:415:413:413;empty
120;45;51:c:3:c;1;f1;0;z;6;-1:7:05:2:5:-1:7;10:3:0:1;17:3:5:9;13:13:11:11:33;empty
121;0;95:a:5:a;0;ff1;1;n;0;6:6:12:4:1:6:6;13:2:8:1;3:8:4:6;433:633:433:413:413;empty
122;0;6:b:b:5;1;ff0;0;o;8;5:6:04:9:7:7:6;14:9:4:1;14:7:1:8;415:413:615:415:413;empty
123;8;1:d:9:d;1;f1;0;g;2;9:9:07:3:8:8:9;12:6:4:7;10:3:1:7;411:413:211:411:413;empty
124;0;-118:c:c:8;0;f0;0;i;4;2:2:12:6:4:2:2;12:7:6:2;16:0:6:3;31:33:31:33:33;empty
125;0;80:c:8:c;1;ff1;1;l;8;6:3:06:6:4:4:3;4:4:8:1;14:4:7:6;644:624:624:644:844;empty
126;0;4:c:2:c;0;f1;0;a;4;2:2:05:3:1:2:2;10:3:9:2;23:4:2:6;00:0-1:01:00:01;empty
127;324;-59:5:b:b;0;ff0;0;e;0;1:1:07:4:9:9:1;-5:8:-3:2;10:7:0:6;31:31:11:13:33;empty
128;0;c:c:3:21;0;ff0;1;j;6;8:8:11:4:1:8:8;25:16:7:4;19:9:2:7;443:443:413:743:413;empty
129;2;-45:d:d:5;0;ff1;1;v;3;2:9:16:3:4:4:9;16:0:6:7;6:8:6:1;44:44:22:42:42;empty
130;2250;-8:c:4:c;0;ff0;0;f;1;2:2:08:6:3:2:2;8:5:1:1;16:8:3:5;324:321:321:624:324;empty
