var;1;2;3;4;5;6
85;tuple;37 6 59 0 55 1 86 5;;;0 4 5 3;0 5 ERR
86;set;(10, 4) (48, 0) (64, 4) (35, 3) (76, 9);;;0 1 5 6;0 2 5 2 ERR
87;tuple;79 90 27;;;4 1 5 3;0 5 4 5 ERR
88;list;7 8 9 2;;;0 1 5 6;0 2 5 2 ERR
89;set;14 1 63 9 17 5 87 3;;;0 1 5 6;0 2 5 2 ERR
90;dict;58 69 78 85;;;0 4 6 3;0 5 ERR
91;dict;55 7 41 1 68 7 52 9 17 2;;;0 1 5 3;0 5 ERR
92;set;53 0 66 0 58 9 19 0 22 9;;;0 4 5 6;0 2 5 2 ERR
93;dict;18 73 67 46;;;0 1 5 3;0 2 5 2 ERR
94;dict;72 36 44 49 47;;;4 1 5 6;0 5 4 5 ERR
95;dict;4 7 3;;;0 4 5 6;0 5 5 5 2
96;set;(65, 9) (75, 1) (52, 4) (68, 6) (42, 2);;;0 1 5 3;0 5 4 5 ERR
97;tuple;50 7 80 5 62 6;;;0 4 5 6;0 5 4 5 ERR
98;list;(15, 3) (69, 9) (30, 8);;;0 1 5 3;0 2 5 2 ERR
99;dict;39 55 30 70 58;;;0 4 6 3;0 5 5 5 2
100;list;58 5 60 3 72 4 11 7;;;0 1 5 6;0 5 4 5 ERR
101;dict;59 61 48 34 27;;;4 1 5 6;0 5 4 5 ERR
102;list;1 4 7 6 9;;;0 1 5 3;0 5 5 5 2
103;tuple;9 6 8;;;0 4 6 3;0 5 4 5 ERR
104;set;69 22 52 65;;;0 1 5 6;0 5 5 5 2
105;list;(80, 1) (52, 9) (38, 3) (23, 1) (89, 4);;;4 1 6 3;0 5 4 5 ERR
106;dict;23 71 17 18;;;0 1 5 6;0 2 5 2 ERR
107;dict;41 0 73 6 32 4 11 4 51 5;;;0 4 5 3;0 5 ERR
108;tuple;32 3 70 2 67 7 83 7;;;0 1 5 6;0 2 5 2 ERR
109;dict;(87, 9) (26, 1) (34, 9) (59, 5) (46, 8);;;0 1 5 3;0 5 4 5 ERR
110;dict;55 7 84 6 38 7 58 8;;;4 1 5 6;0 5 5 5 2
111;dict;90 64 86 37;;;0 4 5 6;0 2 5 2 ERR
112;set;8 5 9 0;;;0 1 5 3;0 5 ERR
113;list;79 68 41;;;0 1 5 6;0 5 4 5 ERR
114;dict;31 4 58 8 46 2 28 1 24 6;;;0 4 5 3;0 2 5 2 ERR
115;list;45 13 27 41 22;;;0 4 5 3;0 5 4 5 ERR
116;list;6 6 9 1;;;0 1 5 6;0 2 5 2 ERR
117;set;(23, 3) (74, 8) (44, 6) (29, 1);;;0 1 5 6;0 5 ERR
118;dict;65 8 62 8 79 9 15 7;;;4 1 6 3;0 2 5 2 ERR
119;set;39 5 22 5 70 1 66 8;;;0 4 5 3;0 5 5 5 2
120;tuple;65 81 72;;;0 1 5 6;0 5 4 5 ERR
121;dict;4 8 5 8 7;;;0 4 5 6;0 2 5 2 ERR
122;dict;(87, 3) (26, 8) (63, 7) (43, 4);;;0 1 5 3;0 5 ERR
123;list;85 65 57 11 40;;;4 1 5 6;0 2 5 2 ERR
124;set;50 7 18 8 77 1 80 8 31 1;;;0 1 6 3;0 5 4 5 ERR
125;dict;58 9 31 2 90 9;;;0 1 5 3;0 5 5 5 2
126;list;72 84 73 28;;;4 1 5 6;0 5 4 5 ERR
127;tuple;2 9 9;;;0 1 5 6;0 2 5 2 ERR
128;dict;47 82 75 50;;;0 4 6 3;0 5 ERR
129;dict;54 1 33 0 69 5;;;0 4 5 3;0 5 4 5 ERR
130;list;80 74 71 55;;;0 1 5 6;0 5 5 5 2
131;list;(77, 8) (65, 5) (30, 1) (50, 8);;;0 1 5 3;0 5 4 5 ERR
132;set;37 4 84 8 46 1 59 8 17 5;;;0 4 5 6;0 2 5 2 ERR
133;dict;34 2 21 6 67 7 68 2 24 5;;;0 1 5 6;0 5 ERR
134;set;5 6 5 2 2;;;4 1 6 3;0 2 5 2 ERR
135;dict;40 7 61 7 47 5 36 7;;;0 4 5 3;0 2 5 2 ERR
136;set;83 34 35;;;0 1 5 6;0 5 4 5 ERR
137;dict;(19, 3) (35, 6) (57, 0) (32, 4);;;0 1 5 6;0 5 ERR
138;dict;68 39 89;;;4 1 6 3;0 2 5 2 ERR
139;set;60 54 15 42;;;0 1 6 3;0 2 5 2 ERR
140;dict;23 6 89 8 55 8 21 9 54 7;;;4 1 5 6;0 5 4 5 ERR
141;list;26 5 39 3 76 3 43 6;;;0 1 5 3;0 5 5 5 2
142;set;4 2 3 9;;;4 1 5 6;0 5 4 5 ERR
143;set;(53, 0) (90, 0) (36, 6);;;0 1 6 3;0 5 5 5 2
144;tuple;82 31 13;;;4 1 5 6;0 5 4 5 ERR
145;dict;15 53 16 80;;;0 4 5 6;0 5 4 5 ERR
146;list;15 53 29 34;;;0 1 6 3;0 2 5 2 ERR
147;dict;(26, 1) (30, 9) (24, 6) (41, 6) (70, 6);;;0 1 5 6;0 5 5 5 2
148;set;6 4 2;;;0 4 5 3;0 5 4 5 ERR
149;list;43 9 88 6 83 6 80 1 46 8;;;0 1 5 3;0 5 4 5 ERR
150;list;16 1 51 1 41 8;;;4 1 5 6;0 5 5 5 2
151;tuple;38 5 41 5 80 5 46 4;;;0 4 5 3;0 5 5 5 2
152;dict;1 7 9 4 5;;;0 1 5 6;0 5 4 5 ERR
153;dict;46 1 11 6 34 9 12 7;;;0 1 5 6;0 2 5 2 ERR
154;list;46 48 74 79;;;4 1 6 3;0 5 4 5 ERR
155;dict;23 82 77 43;;;0 1 5 6;0 2 5 2 ERR
156;tuple;(30, 1) (47, 9) (82, 6) (73, 9);;;4 1 5 3;0 5 ERR
157;set;7 0 8 9;;;0 1 5 6;0 2 5 2 ERR
158;dict;(51, 6) (18, 2) (56, 6) (36, 3);;;0 4 5 3;0 5 ERR
159;list;16 8 18 8 25 5 20 2;;;4 1 5 6;0 5 4 5 ERR
160;dict;33 25 12 70;;;0 1 5 3;0 5 5 5 2
161;list;79 9 87 7 83 3 47 7;;;0 1 6 3;0 2 5 2 ERR
162;dict;21 57 89 32;;;0 4 5 6;0 5 4 5 ERR
163;set;54 24 80 42 39;;;0 1 5 3;0 5 4 5 ERR
164;dict;62 35 54 84 67;;;4 1 5 6;0 2 5 2 ERR
165;dict;28 3 34 5 37 2 66 1;;;4 1 5 6;0 5 ERR
166;set;45 4 20 3 24 9 59 1;;;0 1 5 3;0 2 5 2 ERR
167;set;(19, 4) (16, 0) (65, 4) (77, 6) (48, 7);;;0 1 5 6;0 5 4 5 ERR
168;list;2 8 9 1;;;4 1 6 3;0 5 5 5 2
169;tuple;(51, 5) (44, 5) (35, 8);;;0 1 5 6;0 5 ERR
170;dict;1 1 7;;;4 1 5 3;0 2 5 2 ERR
