var,1,2,3,4,5,6,7,8
72,3,CBAA,53557,3,51,undefined behaviour,BBAC~C~A~B~B=,10
73,-1,CBAAAA,636619,64,35,syntax,B~B=,6
74,0,CABB,42448,64,724,syntax,B~B=,-2
75,2,BBBAC,9558,30,03,syntax,A~A=,-6
76,11,AABC,7043,41,657,=,=,2
77,5,CBBBBA,607,30,syntax,syntax,BB~B~B=,-7
78,-2,BAAAC,549,11,syntax,syntax,A~A=,5
79,3,CAAB,9331,11,22,undefined behaviour,BBAC~C~A~B~B=,-3
80,-1,ABBBC,787742,11,433,undefined behaviour,BA~A~B=,10
81,-8,BAAAAC,42446,64,46,=,B~B=,-9
82,10,AABC,130,11,077,undefined behaviour,B~B=,-2
83,-1,CABBBB,1934,11,511,syntax,=,6
84,8,ABBBC,782,46,734,undefined behaviour,BB~B~B=,-7
85,-4,BBAC,249,30,340,undefined behaviour,BA~A~B=,0
86,3,CBAAA,757783,30,57,undefined behaviour,B~B=,0
87,12,CBBBBA,65667,64,265,undefined behaviour,A~A=,-8
88,15,CAAB,9008,64,103,3=,BBAC~C~A~B~B=,-1
89,6,AAABC,9815,30,36,syntax,=,-10
90,-1,BAAAAC,723,41,syntax,undefined behaviour,BB~B~B=,4
91,12,CABB,405,3,77,syntax,B~B=,5
92,13,CBAAAA,279,11,311,undefined behaviour,=,-6
93,2,BBBAC,5660,3,syntax,undefined behaviour,A~A=,9
94,-1,ABBBBC,47442,64,566,undefined behaviour,BB~B~B=,8
95,14,CAAB,242265,41,31,=,BA~A~B=,9
96,6,CBBBA,9703,46,055,undefined behaviour,BBAC~C~A~B~B=,-3
97,4,CABBBB,6778,11,60,undefined behaviour,B~B=,9
98,1,AABC,04002,11,53,syntax,B~B=,-9
99,-1,BAAAC,847,11,syntax,syntax,B~B=,-4
100,11,CAAAAB,539,30,54,undefined behaviour,B~B=,12
101,-9,CBAA,424450,30,300,syntax,BBAC~C~A~B~B=,7
102,-2,CBBBA,9837,64,55,undefined behaviour,=,2
103,-2,ABBC,709,30,724,syntax,A~A=,2
104,15,BBBBAC,642,64,603,syntax,BB~B~B=,-2
105,2,CAAAB,858836,64,syntax,undefined behaviour,BA~A~B=,1
106,-1,CABBB,01009,11,511,syntax,B~B=,-1
107,3,ABBC,6113,30,655,undefined behaviour,BA~A~B=,-5
108,1,AAAABC,0592,11,102,undefined behaviour,BB~B~B=,-5
109,4,CBAA,161142,11,55,undefined behaviour,B~B=,-2
110,6,BBBBAC,853,30,320,=,A~A=,2
111,6,BAAAC,3665,64,10,syntax,BBAC~C~A~B~B=,-10
112,-1,CBBA,781,64,25,undefined behaviour,=,8
113,2,CABBBB,05008,3,533,undefined behaviour,B~B=,5
114,13,CBAAA,7439,11,460,syntax,BBAC~C~A~B~B=,-10
115,8,BBBBAC,954,46,syntax,undefined behaviour,BA~A~B=,-8
