var;1;2;3;4;5;6;7;8
21;a;47 82 75 50;4 1 5 3;;4;;9 1 2 6 10 4 5 11 7 8 3 0;1 2 4 5 6
22;[0, 2, 4, 6, 8];16 51 41;0 5 4 5 ERR;;-12;;6 7 10 2 0 1 9 8 4 3 5;1 5
23;b;90 1 55 9 46 5 26 4 41 1 75 6;0 5 5 5 2;;3;;2 0 7 8 3 6 9 1 11 10 5 4;3 5 6
24;error;84 8 25 8 51 0 47 5;0 1 5 3;;-2;;2 3 8 1 7 6 9 5 10 0 4;1 5 6
25;630;10 2 32 8 74 0 20 7;4 1 5 3;;7;;7 9 6 1 3 2 5 8 0 10 4;2 4
26;e;62 9 88 9 78 9 47 2;0 2 5 2 ERR;;-6;;0 9 5 7 6 3 10 1 2 8 4;1 2 3 4
27;();(38, 6) (26, 4) (74, 4) (13, 7);0 1 5 3;;6;;6 7 10 1 8 5 11 2 4 3 0 9;1 2 4 5
28;['5', '4', '3', '2', '1', '0'];65 62 79 15;0 1 5 3;;-2;;8 10 1 4 5 2 7 9 0 3 6;1 2 3 4
29;[];43 70 48;0 5 4 5 ERR;;2;;8 4 0 1 10 3 2 7 6 9 5;1 2 3 4 6
30;('9', '7', '5', '3', '1');8 6 2 5 1;0 4 5 3;;-9;;9 6 2 5 1 4 0 8 10 7 3;1 3 4 6
31;error;77 4 67 6 16 5 20 7;0 1 5 3;;8;;2 4 1 6 0 3 7 5 9 10 8;1 4 5
32;error;25 44 55;0 4 5 3;;-1;;6 10 8 11 9 4 3 5 1 0 2 7;1 3 6
33;0;34 8 13 9 22 0 69 2;0 5 ERR;;-5;;6 3 0 11 5 4 8 2 9 1 7 10;1 4 5 6
34;d;6 6 9 1;0 5 5 5 2;;-5;;5 6 8 4 0 1 9 3 7 10 2;1 2 4
35;(0, 3, 6, 9);[11, 12, 13];4 1 5 3;;3;;2 8 6 7 11 4 0 1 9 3 10 5;3 4 5 6
36;error;21 57 89 32;0 5 4 5 ERR;;4;;4 10 1 2 0 11 7 3 8 5 9 6;1 3 4 5 6
37;4;(83, 7) (34, 6) (35, 9);0 1 5 3;;4;;7 8 3 2 10 6 5 1 9 4 0;1 2 3 4
38;c;54 0 47 6 51 8 49 8;0 2 5 2 ERR;;5;;9 1 2 7 10 0 4 8 6 5 3 11;3 4 5
39;error;['0', '1', '1', '2', '3'];0 1 5 3;;-7;;5 9 10 1 4 3 7 11 2 0 8 6;1 2 5 6
40;[];4 2 9;4 1 5 3;;9;;10 7 1 11 9 4 6 8 2 0 3 5;1 2 3 4 6
41;[5, 4, 3, 2, 1, 0];(87, 5) (47, 6) (88, 4) (33, 2);0 5 4 5 ERR;;-1;;0 4 2 3 1 10 6 9 8 5 7;3 4 6
42;();87 5 64 6 24 5 35 2 16 2;0 4 5 3;;-9;;4 7 0 11 3 1 10 8 6 2 9 5;2 3 4 5 6
43;02468;error;0 5 5 5 2;;-8;;10 11 4 3 7 8 1 6 5 2 9 0;1 2 4 5 6
44;();['0', '1', '2', '3', '1', '3'];0 2 5 2 ERR;;13;;6 5 4 10 1 3 7 11 9 0 2 8;1 2 3 5
45;error;12 [10, 11, 13];0 5 4 5 ERR;;7;;7 11 10 8 9 3 0 4 6 5 2 1;1 2 3 4 5
46;[2, 5, 8];[10, 11, 12, 13, '1', '1'];0 5 4 5 ERR;;8;;6 3 0 11 8 5 7 9 2 4 10 1;2 3 5 6
47;error;15 69 30;0 5 5 5 2;;-6;;9 11 5 4 0 7 8 3 10 2 1 6;1 2 3 6
48;[];30 55 79 88;0 1 5 3;;1;;1 8 3 7 10 4 9 5 0 6 11 2;2 3 4 6
49;e;error;0 5 ERR;;4;;9 1 7 11 2 6 8 0 3 5 4 10;1 2 4 5 6
50;(9,);(28, 2) (83, 1) (71, 9) (45, 8) (72, 4);4 1 5 3;;-9;;5 4 8 7 6 1 0 3 10 2 9;3 4 6
51;('9', '8', '7', '6', '5', '4', '3', '2', '1', '0');8 5 4 6 1;0 2 5 2 ERR;;6;;3 2 6 5 8 0 10 7 1 9 4;1 2 3 4 5
52;error;50 80 62;0 2 5 2 ERR;;3;;6 5 9 7 4 0 8 3 10 2 1;1 2 5 6
53;0246;[12];0 1 5 3;;4;;10 5 6 0 2 7 9 3 1 8 4;1 3 4 5 6
54;(9, 6, 3);16 8 18 8 25 5 20 2;0 4 5 3;;-6;;2 8 0 3 1 4 10 6 5 9 7;1 2 3
55;('9', '7', '5', '3', '1');11 [10, 12, 13];0 1 5 3;;0;;2 8 4 7 10 3 9 1 0 6 5;1 3 4 6
56;empty;58 6 69 8 78 4 85 1;0 1 5 3;;0;;8 1 2 7 5 0 6 4 3 10 9;1 3 4 6
57;d;42 55 54 70 39;0 5 4 5 ERR;;-6;;7 5 0 8 11 2 1 3 9 6 4 10;1 4 5
58;[8];23 22 17 87;0 4 5 3;;-5;;2 9 1 0 8 5 4 3 6 7 10;1 2 6
59;['9', '8', '7'];['0', '1', '2', '3', 1, 0];0 5 ERR;;3;;10 3 5 0 8 6 1 4 11 7 9 2;2 3 4 5 6
60;error;(75, 6) (13, 2) (47, 4) (15, 0);0 2 5 2 ERR;;8;;0 11 3 1 10 5 2 8 9 6 7 4;2 3 4 5
