var;1;2;3;4;5;6;7;8;9;10
126;0.4897959183673469;True;ff3;1;error;10 1 3 5;69270;6;-6;R 4
127;30.857142857142854;-3;f-4;9;1 4 26 7 9;24 4 1 5;8False946;-1;end 11;R 1
128;0;-1.6666666666666667;ffTrue;2;error;error;38error;3;-9 -9;R 9
129;14.0;0.9375;f-8;3;3 2 38 6 7;5 3 7 3;33928;-1;9;R 6
130;35;True;fFalse;8;error;6 2 1 5;147;12;0 0;R 0
131;0.8;True;ffTrue;4;0 1 77 6 9;10 7 0 1;2True108;12;9 8 8;R 6 4 2 0
132;0;1.0;f9;2;error;15 7 8 1;579;12;5;R 0
133;3.3333333333333335;False;ff1;1;4 2 39 7 6;error;57error;7;9;R 5
134;0;True;fTrue;4;error;error;81103;5;4 2 0 -2;R 6 1 2 3 4 5
135;36;-0.012345679012345678;fFalse;2;error;error;56048;8;8 8;R 4 6 8 0
136;1.1666666666666665;False;f-3;6;1 0 47 6 9;13 8 3 3;10error;9;5 7 9;R 1 2 3 4 5 6
137;64.0;False;ffFalse;7;error;4 4 1 6;415;1;error;R 5 4 3 2 1 6
138;0;-2.0;ff-9;4;5 4 28 7 9;12 3 0 3;20372;-1;9;R 5
139;1.6;True;ff8;1;5 1 66 9 7;error;90167;8;-4 -4;R 0 0 0 0
140;0.0;True;ffTrue;1;error;9 6 0 3;2True105;3;error;R 0
141;6;2.0;fFalse;1;error;7 4 6 9;30891;9;1;R 6 1 2 3 4 5
142;0.0;0.015625;f-2;0;error;error;5True275;15;6;R 0
143;2.6666666666666665;3;ff-9;2;error;9 3 7 1;422;8;-9;R 4 6 8 0
144;28.0;3.0;fTrue;3;5 2 06 6 9;8 0 4 7;51361;2;6 6;R 4
145;5;False;ffTrue;7;2 5 16 7 9;10 1 0 1;08error;13;-11 -11;R 5
146;0.0;-4.0;ff5;7;error;9 8 1 9;43157;8;0;R 0 2 4 6
147;0;-2.0;fFalse;6;error;37 7 4 5;613;9;-7;R 1
148;0.8571428571428571;-4.0;f3;3;error;10 7 8 1;9True314;11;end 8;R 6 5 4 3 2 1
149;0;3.0;f-3;2;error;error;09601;5;4 4;R 0
150;0.6944444444444444;0.75;ffTrue;1;error;17 2 7 1;379;9;-7;R 0 8 6 4
151;0.0;True;ff2;5;error;error;1False974;0;7 7;R 0 0 0 0
152;72;False;ffFalse;9;error;error;582;8;7 6 5 5;R 5
153;10.125;True;f-5;4;2 0 16 8 9;error;50474;3;1 0 -1;R 1
154;0;256;fFalse;7;3 2 09 6 8;10 9 4 6;59error;6;2;R 0 0 0 0
155;5;0.5;ff7;5;5 1 47 8 9;error;32075;3;7 7;R 6
156;2.1333333333333333;True;fTrue;0;error;error;197;9;end 2;R 9
157;4.285714285714286;2.25;fTrue;9;error;2 6 3 1;8False132;12;-5 -5;R 1 2 3 4 5 6
158;0;True;ff-7;2;error;error;90157;11;9;R 0
159;1.5;False;fTrue;5;error;error;69473;-1;1 1;R 5 4 3 2 1 6
160;0.0;0;ff-9;0;error;13 2 5 8;296;6;9;R 6 4 2 0
161;0.0;True;ff-8;1;error;8 0 9 3;20194;8;error;R 6
162;48;False;ffTrue;6;error;error;87692;9;-6 -6;R 5
163;0.0;18.0;ff5;7;error;12 5 5 6;310;11;-5;R 4 6 8 0
164;4.285714285714286;0.0;fTrue;2;0 2 56 6 7;error;6True192;7;-5 -7 -7;R 0 0 0 0
165;0.65625;False;fTrue;1;error;error;40error;-1;7 7;R 6 4 2 0
166;7;2.0;ff3;7;error;11 6 3 4;8False509;5;-9;R 5 4 3 2 1 6
167;28;False;fFalse;5;4 0 39 8 6;error;57error;-1;-3 0 3;R 9
168;0.0;True;f-5;4;error;12 6 0 4;31815;6;4 4;R 0
169;47.25;2;ffTrue;4;5 4 06 9 7;8 0 6 1;26774;13;-6 -7 -8 -8;R 0 8 6 4
170;0;-0.75;ff1;5;error;3 4 2 2;390;7;-4 -4;R 1 2 3 4 5 6
171;0.0;-5;ff4;1;error;13 4 6 1;9True218;14;4;R 6 5 4 3 2 1
172;0.0;True;ffTrue;2;3 0 76 9 8;9 6 1 2;35020;-2;end end 8;R 0 0 0 0
173;14.4;1.0;fTrue;6;error;14 4 2 3;79313;7;2 5;R 5
174;0;False;ff5;5;4 3 17 6 8;10 9 8 4;862;5;-6;R 6 1 2 3 4 5
175;0.7777777777777778;0.0;ffTrue;6;2 2 16 8 7;error;948;5;-8 -7 -7;R 0
176;0;True;ff-3;9;error;error;50228;2;1 1;R 0
177;56.0;True;f-6;1;error;9 8 3 5;910;6;4;R 1
178;0.0;-2.0;fFalse;4;error;error;33618;3;3;R 4
179;9;-4.0;f0;8;4 1 28 8 7;error;907;0;end 4;R 0 2 4 6
180;0.0;3.0;fTrue;1;error;error;0False291;12;7 9 11;R 1
181;2.0;False;ffTrue;0;error;14 8 4 1;97064;7;-11 -11;R 1
182;0.6666666666666666;0.5;f7;3;error;error;82176;14;4;R 4 6 8 0
183;32.142857142857146;True;f-3;6;1 4 69 8 7;12 1 4 2;46error;0;5;R 1
184;0;True;fFalse;4;5 4 07 9 6;error;4True571;11;8 8;R 6 4 2 0
185;48;True;fTrue;7;3 1 07 9 6;8 2 0 9;397;5;1;R 5 4 3 2 1 6
186;9.600000000000001;True;ff-1;2;error;20 6 8 5;0False571;0;9 9;R 1 2 3 4 5 6
187;1.3125;True;ff-2;7;error;error;45892;7;5 6;R 0 0 0 0
188;0;True;fTrue;3;4 5 47 8 6;4 7 6 8;081;12;end 0;R 5
189;0.0;-9.0;ffFalse;0;error;error;41058;2;5 5;R 0 2 4 6
190;5.0;0.5;f-9;8;error;error;314;9;10 10;R 6
191;0;True;ffTrue;1;error;error;91051;13;1;R 9
192;24.0;False;f-4;2;error;error;79error;5;error;R 4
193;0.0;False;ffFalse;8;error;14 9 7 8;2False085;5;-2 -2;R 0 8 6 4
194;0.0;-2.0;f5;2;error;30 4 6 4;13876;8;9;R 0
195;8;False;fFalse;0;error;error;985;10;end 3;R 0
196;21.0;True;f1;4;4 3 57 6 9;10 4 5 3;1False081;2;-4;R 0 0 0 0
197;0.0;-0.962962962962963;fTrue;5;error;10 8 3 2;246;10;4 4;R 5
198;0;True;ff6;7;error;15 6 4 2;70284;5;-7;R 6 5 4 3 2 1
199;0.6;0;ff-9;8;0 1 87 8 6;9 4 1 2;67579;8;-1;R 0
200;6;-2.0;fTrue;9;4 5 07 6 9;3 0 1 7;80error;8;end end 15;R 6 1 2 3 4 5
201;0.0;False;ff-6;3;5 2 36 9 8;7 0 4 4;67390;-2;0 3 6;R 4
202;14;0.0;fTrue;0;error;19 3 9 2;5True230;-1;-8 -8;R 0 0 0 0
203;1.75;2.037037037037037;fTrue;4;error;error;646;14;3;R 0 2 4 6
204;0;11.0;ff2;8;2 0 17 8 9;error;254;4;-1;R 0 8 6 4
205;0.0;-9.0;ff0;0;3 5 86 9 7;13 6 2 0;80643;7;-5 -1;R 0
206;9.0;True;fTrue;4;error;6 1 9 2;016;12;9;R 5
207;64;2.0;fFalse;6;error;error;210;8;5 5;R 6 1 2 3 4 5
208;0.0;True;f1;5;0 9 28 6 7;error;4True781;8;9 11 13;R 5
209;2.0;-0.5;f-1;1;error;12 5 7 4;04680;8;13 15 15;R 6 5 4 3 2 1
210;0;2;fFalse;3;error;13 8 6 2;31562;0;-8;R 6
211;0.0;True;ffFalse;8;error;error;940;10;5 8 11;R 0
212;2.0;-2.0;ff-7;9;3 3 07 8 9;error;156;3;-2 -2;R 6 4 2 0
213;0;0.0;fFalse;4;error;error;78195;13;2;R 1
214;3.0;True;f9;9;4 1 17 8 9;11 3 1 4;38217;9;-4 -4;R 1
215;0.0;0;ff-1;2;error;4 0 4 5;9False182;-1;0;R 5 4 3 2 1 6
216;1.5;0.9876543209876543;ffTrue;6;error;18 8 0 5;769;12;error;R 1 2 3 4 5 6
217;15.0;False;f3;9;error;error;68012;10;5;R 4 6 8 0
218;0;2.0;fFalse;2;error;50 9 8 1;761;12;5 8 14;R 9
219;5;0.6666666666666666;ffFalse;1;1 4 26 7 9;15 3 6 3;8True734;10;end end end 6;R 0
220;0.691358024691358;-1.75;ff1;1;0 3 58 7 9;6 5 7 9;00569;-2;-9;R 0 0 0 0
221;0;1.25;f-1;3;error;8 0 5 1;974;9;-2 -1 0;R 5 4 3 2 1 6
222;5.625;True;ffTrue;5;error;10 4 9 4;5False251;5;2;R 6 1 2 3 4 5
223;0.5714285714285714;True;f-4;8;2 1 77 6 8;10 7 1 5;745;4;-2;R 5
224;40;0.0;fFalse;2;error;error;63407;6;-3 -4 -5 -5;R 9
225;3;True;fFalse;4;2 0 28 7 9;error;31826;7;end 2;R 6
226;20.0;16;f-3;7;error;19 4 8 4;344;-1;-8;R 1
227;0;False;ffFalse;2;error;14 9 7 1;71529;6;-1;R 4 6 8 0
228;1.6;False;ff8;9;error;9 7 3 4;3False825;-2;-11 -11;R 0 0 0 0
229;0;0.9375;f9;5;0 3 59 7 8;error;042;2;-7 -7;R 4
230;54.0;1.0;fFalse;7;error;error;86490;14;-6 -6;R 1
231;4.666666666666667;True;fFalse;9;error;error;471;6;error;R 0
232;1.6666666666666665;0.5;f7;4;1 0 57 9 6;1 1 4 1;001;8;end 11;R 1 2 3 4 5 6
233;130.66666666666669;-5;f3;9;4 1 38 9 7;9 0 6 3;7False233;13;0 1 1;R 0
234;3.0;False;ffTrue;0;error;error;23074;2;-9;R 0
235;7.5;0.3333333333333333;f5;0;error;8 0 7 2;85354;3;error;R 0 2 4 6
236;0;False;fFalse;1;error;error;2False819;4;-3;R 0 0 0 0
237;0.0;True;ffFalse;5;error;error;67583;7;-5 -5;R 6 4 2 0
238;2.4;True;ff0;4;error;10 9 1 2;279;10;0;R 6 5 4 3 2 1
239;21;True;fTrue;8;error;10 4 2 6;37error;4;6 9 9;R 0 8 6 4
240;0.0;False;ff6;6;error;9 3 0 3;60215;9;-1 -1;R 5
241;3.375;2.0625;ff7;1;error;3 0 8 5;01285;6;9;R 0 8 6 4
242;0;8.0;ffFalse;8;error;14 6 6 2;64903;14;10 10;R 4
243;1.7999999999999998;1.0;ff-8;5;3 4 26 9 7;error;6False254;-2;1 1;R 6 1 2 3 4 5
244;32;True;fTrue;0;error;error;051;10;end end 1;R 0
245;3.0476190476190474;0.0;fTrue;0;3 0 27 6 9;error;65error;2;-4 -4;R 0 2 4 6
246;3;True;ff-1;3;4 3 58 6 9;error;83757;4;error;R 1
247;81;-16;f-6;6;error;8 5 5 2;21error;12;-2 1 4;R 0
248;0.0;1;ffFalse;9;error;12 2 1 0;6False087;9;6 6;R 0 0 0 0
249;2.5;-0.3333333333333333;fTrue;3;4 3 28 7 6;7 9 0 1;141;8;-11;R 0 0 0 0
250;0;-0.2222222222222222;ff-3;2;error;9 4 3 1;56702;2;error;R 1 2 3 4 5 6
251;0.0;False;fFalse;7;error;13 3 6 7;160;9;end end 9;R 6 4 2 0
252;14.400000000000002;False;f-9;8;4 9 09 8 6;error;70902;14;8 8;R 5 4 3 2 1 6
253;0.0;True;fTrue;5;error;error;46370;12;3;R 4 6 8 0
254;0;False;ff5;0;error;8 2 4 3;6True258;0;8 8;R 9
255;0.3333333333333333;True;fFalse;3;error;error;107;8;error;R 1
256;90;False;f-8;7;error;error;349;9;8;R 6
257;0.0;False;f-2;1;error;error;80746;9;error;R 0
258;49.0;-1.0;ffFalse;2;5 1 08 6 9;8 8 3 0;3True325;1;4 7 13;R 5
259;0;True;fTrue;4;error;9 1 7 5;80790;3;-1;R 6 5 4 3 2 1
260;24.0;17.0;ff4;5;error;9 1 5 1;137;9;2 0 -2;R 5
261;0;True;f-9;9;error;8 6 4 5;650;7;1 3 3;R 0 2 4 6
262;1.5;True;fFalse;7;error;5 8 3 4;2True815;4;1;R 5
263;0.0;1.0;ffTrue;3;2 8 56 6 7;8 8 8 3;67389;10;-4 -5 -6 -6;R 1 2 3 4 5 6
264;7;True;f-5;7;0 1 39 8 6;11 0 6 2;42817;-1;-4 -4;R 0
265;16.0;0.5;ffTrue;2;error;8 8 0 1;052;6;2 2;R 5
266;0.5555555555555556;False;f-6;5;2 4 57 7 8;error;866;8;8 11 17;R 0 8 6 4
267;7.0;-1.5;ffTrue;3;1 0 89 7 9;error;70913;12;-1;R 4 6 8 0
268;0;False;f9;6;error;10 6 4 2;0True820;2;-3 -5 -7;R 9
269;4;False;f-5;7;4 2 38 9 6;13 6 5 4;941;6;4;R 6
270;0.3333333333333333;True;ffTrue;8;error;26 9 1 8;47856;1;end 10;R 4
271;0.0;-1.0;ff-3;9;error;11 6 1 4;075;1;-3 -5 -7;R 1
272;54;True;fTrue;6;error;error;12693;10;-2 -2;R 0
273;0.0;1.0;ffFalse;9;error;13 5 7 8;02720;7;9;R 0 0 0 0
274;0;1.0;ff4;5;0 2 16 7 6;6 0 9 1;697;7;-8;R 5 4 3 2 1 6
275;0;-0.962962962962963;ffFalse;2;5 3 48 8 6;error;3False653;-1;error;R 6 1 2 3 4 5
276;0.44999999999999996;0.1111111111111111;f2;2;error;error;49121;5;error;R 1
277;10.666666666666666;False;fTrue;6;error;error;4False596;0;5 4;R 6 5 4 3 2 1
278;0;2.0;ff7;3;error;error;00217;3;error;R 0
279;1.6666666666666665;1.0;ffFalse;8;error;7 2 5 7;683;3;0;R 0 0 0 0
280;15.0;True;f-2;3;1 1 58 6 7;42 9 1 1;974;9;7;R 6 4 2 0
281;64;-1.0;ffTrue;1;error;17 6 7 4;43error;11;7 5 3;R 1 2 3 4 5 6
282;16.0;4.0;f4;2;0 3 59 8 7;error;51801;10;-12 -12;R 0 2 4 6
283;1.0714285714285714;True;ff-9;0;error;error;6False292;9;10 10;R 4
284;0;-2.0;fTrue;8;0 0 76 6 9;8 8 5 3;594;12;9 12 18;R 0
285;0.0;False;fFalse;3;error;error;87197;6;error;R 1
286;63;3.0;f7;2;2 1 49 8 7;8 4 4 1;40301;5;error;R 5
287;0.5555555555555556;True;f-7;9;error;17 0 4 4;283;7;15;R 1
288;5;1.1111111111111112;ffTrue;1;3 0 49 6 9;11 2 7 4;53208;7;0 0;R 0 0 0 0
289;1.0;False;f1;8;error;error;43error;-1;-12 -12;R 5 4 3 2 1 6
290;10.125;False;ffFalse;1;4 2 59 6 7;9 7 4 5;4True978;1;error;R 9
291;0;True;fTrue;3;error;error;5False146;2;6;R 0
292;10.8;False;ff-8;7;2 4 59 7 9;error;87216;11;end end 9;R 0
293;0.75;-5.0;ffFalse;9;error;17 8 3 3;39484;14;-3 -3;R 0 0 0 0
294;0;True;ff3;1;2 4 98 6 8;error;732;11;13 13;R 0 8 6 4
295;0;-2.0;ffTrue;8;error;error;831;9;6 6;R 6 1 2 3 4 5
296;72.0;0.75;ff3;3;error;-2 0 1 2;90447;13;1 1;R 4 6 8 0
297;57.85714285714286;False;fFalse;7;error;12 9 4 2;10error;6;8;R 5
298;0.875;True;f5;3;3 2 49 8 6;7 9 8 2;36051;11;-4 -1 2;R 6
299;5.0;True;f-4;9;1 2 59 7 6;10 1 5 1;3True740;10;-8 -7 -7;R 6 4 2 0
300;0;-0.5;fFalse;1;1 4 68 9 8;11 5 3 0;862;13;3 3;R 6 5 4 3 2 1
301;10.5;0.0;ff-6;3;5 0 36 7 9;2 9 1 5;451;7;-4;R 0 0 0 0
302;0;3;ffFalse;7;error;7 8 2 4;60251;3;-10 -10;R 0 8 6 4
303;1.5555555555555554;False;f8;6;error;error;80error;0;1 1;R 1 2 3 4 5 6
304;5;True;fFalse;8;error;25 6 7 9;91684;6;2 2;R 6 1 2 3 4 5
305;9;True;f5;3;error;17 9 1 5;7False496;2;-2 1 4;R 6 5 4 3 2 1
306;0.0;0.25;ffTrue;0;error;error;0True132;3;end -6;R 0 0 0 0
307;12.0;15;fFalse;6;error;11 3 5 5;85719;8;-1 -1;R 5
308;0.0;False;f8;2;4 4 27 9 8;34 8 7 3;442;11;-3 -4 -6;R 6 4 2 0
309;0;False;ff3;9;error;9 0 8 1;630;9;-8;R 4 6 8 0
310;2.625;True;fTrue;8;error;error;23895;6;5;R 0 2 4 6
311;20.0;False;f-4;3;5 0 27 9 8;12 5 2 4;948;11;error;R 1
312;0.0;0.6666666666666666;ffFalse;5;error;error;13536;-1;-8 -10 -12 -14;R 0
313;0.0;0.25;ffTrue;1;error;error;72error;10;-1;R 4
314;54;True;ff2;2;1 0 46 9 8;error;4True306;6;5 5;R 0
315;0.0;1.0;ffTrue;5;error;6 6 4 7;12487;14;error;R 6
316;3.333333333333333;2.0;f-5;2;3 4 29 8 6;8 6 1 5;3False097;4;4;R 9
317;0;False;f7;2;error;error;20183;8;end -11;R 0
318;0.6805555555555556;0.9876543209876543;fFalse;0;3 5 27 9 8;15 1 7 1;454;7;-7 -4;R 1
319;0;-2.0;ff-6;6;error;35 6 2 0;167;13;3;R 5 4 3 2 1 6
