var;1;2;4;5;6;7;8;9;10
9;<class 'list'>;55 7 41 1 68 7 52 9 17 2;-1;9 1 5 8 7 10 4 2 6 0 3;3;1 2 3 4 6;0 4 5 3;0 2 4 2 ERR;4 5 3
10;<class 'list'>;56 1 28 2 27 8 76 4 80 4;-5;11 0 2 7 9 6 10 1 5 4 3 8;0 3;2 4 5 6;0 1 5 3;1 3;4 5 6
11;<class 'tuple'>;4 6 5 7;5;5 9 10 4 0 1 7 6 2 3 8;3 8;1 3 4 6;14 ERR 13;1 3;4 5 6
12;<class 'dict'>;64 67 83 50 38;6;8 2 7 10 6 1 4 5 0 9 3;1 5 7 9;1 2 4 5 6;0 4 5 3;2 3;4 5 6
13;<class 'dict'>;23 9 24 6 48 8;-9;5 4 2 3 7 1 6 8 9 10 11 0;None;1 2 3 5 6;0 1 5 3;2 3;4 2 6
14;<class 'set'>;50 70 87 36;6;10 9 7 6 5 8 3 11 2 1 0 4;1 2 7 8 9;2 3 5;;0 2 4 2 ERR;4 5 6
15;<class 'set'>;68 3 38 2 27 9 87 8;11;10 11 3 4 6 7 5 8 9 1 2 0;2 3 4 8;2 5 6;15 ERR 13;2 1;4 5 3
16;<class 'tuple'>;75 13 47 15;6;8 1 4 7 6 2 9 10 3 0 5;1 2 8;1 2 4 5 6;14 ERR 13;1 2;4 5 6
17;<class 'dict'>;(81, 6) (72, 8) (48, 1) (55, 1);0;5 8 3 1 6 10 2 4 9 0 7 11;6 8;2 4 5 6;0 4 5 3;0 ERR;4 2 6
18;<class 'list'>;4 4 8 1 3;-3;8 3 10 4 7 0 6 2 9 5 1;4 5 6 7 8 9;1 2 3 4 5;0 1 5 3;0 2 4 2 ERR;4 5 3
19;<class 'tuple'>;77 16 84 58;-8;11 2 7 5 10 8 3 0 4 9 6 1;1 6 8;1 2 3 4 5;14 ERR 13;1 3;4 5 6
20;<class 'dict'>;(25, 2) (23, 0) (82, 5);6;1 9 11 2 5 3 10 4 0 6 7 8;0 3 7 8 9;1 2 4 5;14 1 13;2 3;4 5 6
21;<class 'dict'>;85 65 57 11 40;-6;6 2 1 10 7 0 4 9 5 3 8;1 3 4 7 8;1 2 3;15 ERR 13;0 2 4 2 ERR;4 5 6
22;<class 'list'>;10 2 32 8 74 0 20 7;-3;9 3 8 0 4 10 5 11 1 7 2 6;2 4 6 7 8;1 2 3 5;0 4 5 3;0 ERR;4 2 6
23;<class 'tuple'>;58 9 12 7 57 5 62 7;-3;4 3 8 5 9 11 0 10 2 6 1 7;0 4 9;2 3 4 5 6;0 1 5 3;2 3;4 5 6
24;<class 'dict'>;7 6 9;-6;2 6 10 8 7 4 1 5 0 9 3;7 8 9;1 3 6;0 1 5 3;0 2 4 2 ERR;4 5 6
25;<class 'dict'>;52 3 37 3 70 5 31 5;0;11 2 8 0 6 4 10 9 5 3 7 1;1 4 7;2 4 6;11 ERR 13;1 2;4 5 3
26;<class 'set'>;54 0 47 6 51 8 49 8;-7;5 1 4 2 3 6 0 7 10 8 9;5 6 8 9;1 4 5 6;0 4 5 3;1 3;4 2 6
27;<class 'dict'>;58 69 78 85;9;8 0 7 3 11 10 4 2 9 1 5 6;0 1 6 8;1 2 4 5 6;11 ERR 13;2 3;4 5 6
28;<class 'set'>;(50, 7) (18, 8) (77, 1) (80, 8) (31, 1);-9;3 4 8 11 6 9 1 7 0 10 2 5;0 3 6 7 8;2 3 4 5 6;14 ERR 13;0 ERR;4 5 3
29;<class 'set'>;7 8 9 2;-4;6 3 8 2 5 10 0 1 4 9 7;2 4 6 7 8;1 2 3 4 5;0 4 5 3;0 2 4 2 ERR;4 5 6
30;<class 'list'>;52 55 21 36 67;3;8 0 10 6 2 4 1 7 9 3 5;2 3 4 7;1 2 3 4 5;;0 2 4 2 ERR;4 5 6
31;ERROR;68 2 39 4 89 7;1;1 6 5 0 10 8 4 3 9 2 7;0 1 4 8 9;1 2 3 4 6;0 1 5 3;0 2 4 2 ERR;4 5 6
32;ERROR;7 0 1 3;-5;11 4 10 6 9 8 2 1 7 3 5 0;0 3 6 7 8;1 2 3 5 6;0 4 5 3;0 ERR;4 5 6
33;<class 'dict'>;(25, 7) (47, 7) (13, 6) (12, 7);6;10 1 3 0 8 5 9 6 4 7 2;7;1 3 4 6;11 ERR 13;2 3;4 2 6
34;<class 'dict'>;25 6 44 3 55 3;4;10 7 1 6 0 5 8 4 3 9 2;1 2 7 9;1 2 3 4 5;;1 3;4 5 3
35;<class 'dict'>;23 71 17 18;12;6 4 5 2 8 7 1 10 9 3 0;4 5 6 7 8 9;3 5 6;14 1 13;0 2 4 2 ERR;4 5 6
36;<class 'dict'>;53 66 58 19 22;3;7 6 9 3 8 5 10 11 0 2 1 4;0 1 3 4 7 8 9;1 3 4;15 ERR 13;2 3;4 5 6
37;<class 'list'>;84 9 50 0 22 1 88 1;-2;2 9 4 7 6 3 8 1 5 10 0;1 7 9 6;1 2 3 5 6;0 1 5 3;0 2 4 2 ERR;4 5 3
38;ERROR;28 83 71 45 72;2;2 6 8 1 0 10 9 7 3 5 4;4 6 7 8 9;1 5 6;;1 3;4 2 6
39;<class 'tuple'>;68 8 67 5 30 4 13 6 46 1;-1;5 8 11 6 4 0 9 2 7 10 1 3;8;1 2 4 5 6;4 1 5 3;2 1;4 5 6
40;<class 'set'>;16 68 43 40 72;6;4 8 3 9 2 10 6 5 1 0 7;8 9;1 2 3 6;0 1 5 3;0 ERR;4 5 6
41;<class 'dict'>;9 2 7 8 3;-14;0 5 6 7 3 1 9 2 4 11 8 10;4 5 6;2 3 4 5;15 1 13;0 2 4 2 ERR;4 2 6
42;<class 'list'>;(57, 4) (39, 7) (30, 5) (55, 2);3;2 0 3 7 10 1 4 6 9 8 11 5;0 3 6 7 8;1 2 4 5;15 ERR 13;0 2 4 2 ERR;4 5 3
43;<class 'dict'>;34 8 13 9 22 0 69 2;1;8 6 2 9 0 4 1 11 10 7 3 5;0 3 7 8 9;4 5 6;11 ERR 13;0 ERR;4 5 6
44;<class 'dict'>;42 89 64 84;-4;5 6 0 7 2 3 10 11 4 8 1 9;4 6 7 8 9;1 2 4;14 ERR 13;1 2;4 5 6
45;<class 'dict'>;3 8 6 1;7;4 1 2 9 7 11 8 6 5 10 3 0;1 2 4 6 8;3 4 5 6;0 1 5 3;0 2 4 2 ERR;4 5 6
46;ERROR;(89, 9) (82, 5) (86, 2);3;8 0 3 11 9 1 10 2 6 5 4 7;4 6 7 8 9;1 2 3 5 6;;0 2 4 2 ERR;4 5 6
47;<class 'list'>;36 19 73 85 33 18;-2;5 10 0 8 1 7 4 9 3 2 6 11;4 5 6 7;1 3 4 5 6;0 4 5 3;2 3;4 5 6
48;<class 'set'>;53 0 90 0 36 6;-7;4 0 2 5 8 7 10 6 9 3 1;0 1 3 6 7;1 4 5;14 1 13;2 3;4 5 3
49;<class 'dict'>;73 38 26 40;-2;8 0 7 5 2 11 6 9 1 3 10 4;2 3 4 6 7 9;1 3 4 5 6;0 1 5 3;0 ERR;4 5 6
50;<class 'set'>;26 30 24 41 70;1;0 1 11 4 9 5 7 2 8 6 3 10;1 2 3 4 7;1 3 4 6;0 4 5 3;2 3;4 2 6
51;<class 'tuple'>;14 1 63 9 17 5 87 3;4;4 1 7 8 9 5 6 3 10 0 2;0 1 3 4 7 8 9;1 2 4 6;0 1 5 3;1 2;4 5 6
52;<class 'dict'>;46 7 28 6 88 9 14 2;6;4 1 2 3 6 10 9 8 7 5 0;1 7 9 6;2 3 5;0 4 5 3;0 2 4 2 ERR;4 5 3
53;ERROR;(21, 9) (57, 5) (89, 9) (32, 8);-6;9 5 11 6 7 3 0 1 2 10 8 4;2;2 3 5 6;14 ERR 13;1 3;4 5 6
54;<class 'list'>;7 8 3 3;10;3 10 2 9 8 1 4 7 0 5 6;6 8;1 2 6;4 1 5 3;0 2 4 2 ERR;4 2 6
55;<class 'dict'>;32 59 68 38 84;-8;5 2 0 1 9 7 8 11 6 10 4 3;2 3 5;1 2 3;15 1 13;1 3;4 5 6
56;<class 'list'>;48 21 39 14;-5;4 1 5 3 9 7 8 0 2 10 6 11;0 1 3 4 5 6 7 9;2 3 4 5;0 1 5 3;0 ERR;4 5 3
57;<class 'tuple'>;42 5 87 8 34 2;5;1 2 0 10 8 5 4 9 3 7 6;0 1 3 4 5 6 7 9;1 2 5 6;0 1 5 3;0 2 4 2 ERR;4 5 6
58;<class 'dict'>;(15, 3) (69, 9) (30, 8);-6;1 5 7 4 6 3 10 2 9 8 0;4 5 6 7;1 2 3 4 5;0 4 5 3;2 3;4 5 6
