var;1;2;3;4;5;6;7;8;9;10
28;"bool;False";"11;8;2;7";"7;";"-8;-6;-6;-6";"1;1;0";123456;"4;5;6;";"9;3;4;";"17;1;13;";1 2 4 5 6
29;Z;"9;4;0;8";"6;";Z;"2;4;8";[2, 3, 4];"4;5;6;";"7;34;2;47;1;50;4;54;0;";"11;1;13;";1 3 4
30;"int;0";"24;9;6;1";"2;";"0;0";"3;Z;5";543216;"4;5;6;";"8;10;11;12;13;14;1;2;";"14;2;13;";4 5
31;"bool;True";"7;1;3;4";"9;";"-15;-13;-11;-9;-7;-5;-3;-1;1;3;5;7;7;7";"6;True;2;5;3";9;"4;5;6;";"2;8;8;6;";"14;1;13;";1 2 4 5 6
32;"f;-6";"Z;2;3;9";"5;";"end;Z";"9;4;1;1;6";0;"4;2;6;";"6;0;1;a;b;2;3;4;";"14;1;13;";2 3
33;"f;f;False";"11;8;2;6";"8;";"-6;-6";"4;Z;5";[1, 2, 3];"4;5;6;";"4;10;";"17;2;13;";1 2 5 6
34;"float;-2.01";"6;7;4;2";"2;";-9;"2;1;9;6;7";5;"4;5;6;";"0;38;21;";"14;Z2;13;";1 2 4 5 6
35;"int;35";"Z;1;2;0";"11;";Z;"3;9;2";0000;"4;5;3;";"1;x;y;10;11;12;13;14;";"11;2;13;";2 3 5 6
36;"float;-0.50";"12;5;8;1";"13;";"-11;-12;-13;-14;-14;-14";"5;0;6";4680;"4;5;6;";"4;87;38;30;";"17;2;13;";2 3 6
37;"f;1";"8;3;5;6";"2;";"-15;-13;-11;-9;-7;-5;-3;-1;-1;-1";"3;5;7;8;1";0246;"4;5;3;";"7;51;49;76;";"14;Z2;13;";1 2 6
38;"f;f;True";"13;5;2;5";"10;";Z;"9;5;7";[2, 2, 3];"4;5;6;";"4;7;5;5;";"17;Z2;13;";1 2 3 5 6
39;"bool;True";"Z;0;6;9";"7;";"end;Z";"3;8;2";0;"4;2;6;";"6;39;82;46;";"11;2;13;";1 6
40;"float;0.33";"7;3;0;7";"8;";Z;"5;0;9;6;3";246;"4;5;6;";"0;(30, 3);(15, 8);(16, 3);";"14;2;13;";3 5
41;"bool;False";"8;4;7;5";"-2;";"10;1";"6;2;2;3;7";4;"4;5;6;";"5;51;71;12;76;";"12;2;13;";1 2 3
42;"bool;False";"9;8;3;2";"9;";"7;5;3;1";"1;6;0";[1, 2, 3];"4;5;3;";"3;75;21;11;";"14;Z2;13;";1 4 6
43;"float;-18.00";"10;6;7;1";"13;";Z;"1;2;7;5;3";654321;"4;2;6;";"2;30;8;48;1;73;3;";"12;Z2;13;";1 4 5
44;"float;-1.00";"33;0;9;5";"13;";"7;6;5;4;3;2;1;0;-1;-2;-3;-3;-3";"4;0;6";1;"4;5;6;";"8;4;5;";"17;1;13;";3 6
45;"float;4.80";"10;2;7;2";"2;";Z;"1;False;2;1;8";0;"4;5;6;";"4;55;8;71;4;44;1;46;3;11;0;";"17;1;13;";2 4 5 6
46;"bool;True";"8;1;6;4";"4;";"end;Z";"0;0;4;7;0";612345;"4;5;3;";"1;2;2;3;7;";"17;1;13;";1 2 3 4 6
47;"bool;True";"17;7;0;4";"4;";Z;"9;2;5;1;3";6420;"4;5;6;";"5;27;9;28;0;31;2;19;5;";"14;Z2;13;";1 3 4
48;"bool;False";"Z;9;1;6";"10;";Z;"6;9;6";0864;"4;5;6;";"4;6;9;8;0;";"14;2;13;";3 4 5
49;"bool;False";"Z;6;4;2";"7;";Z;"8;Z;9";1;"4;5;6;";"6;18;31;55;";"17;1;13;";1 2 3 4 5
50;"f;f;-8";"Z;0;7;9";"0;";3;"6;4;2";123456;"4;2;6;";"3;(37, 8);(66, 8);(90, 6);(76, 0);";"17;Z2;13;";3 4 6
51;"bool;True";"Z;9;4;1";"-2;";"-1;-4;-7;-10;-10;-10";"8;2;0";0000;"4;5;6;";Z;"12;Z2;13;";3 4
52;"int;18";"10;5;0;4";"6;";"end;-13";"4;8;0";5;"4;5;3;";"9;0;1;2;a;c;";"11;Z2;13;";1 4 6
53;"int;0";"Z;8;7;3";"3;";Z;"5;9;2;1;1";[1, 2, 3];"4;5;6;";"2;";"14;Z2;13;";1 2
54;"f;f;False";"11;2;4;4";"6;";Z;"8;3;2;0;4";[2, 3, 4];"4;2;6;";"7;60;12;71;";"12;Z2;13;";1 3 6
55;"f;9";"Z;5;8;2";"7;";Z;"3;Z;7";6;"4;5;6;";"7;b;c;2;3;4;";"17;2;13;";4 5
56;"bool;True";"5;1;1;1";"-1;";Z;"5;Z;2";[2, 2, 3];"4;2;6;";"3;21;0;57;1;65;2;53;4;";"12;Z2;13;";1 3 4 5 6
57;"int;0";"33;7;6;4";"10;";"-12;-10;-8;-6;-4;-2;-2;-2";"5;1;6;4;9";[1, 2, 3];"4;5;6;";"0;10;11;12;13;14;";"14;1;13;";3 6
58;"float;0.00";"9;4;0;7";"7;";"8;7;6;5;4;3;2;1;0;-1;-10;-10";"7;4.0;0;2;8";[2, 3, 4];"4;5;6;";"0;81;77;73;";"17;2;13;";1 3 6
59;"f;-5";"9;3;6;3";"10;";Z;"3;Z;0";[2, 3, 4];"4;5;3;";Z;"12;2;13;";3 5 6
60;"f;f;False";"11;1;0;4";"7;";"end;5";"4;7;3";246;"4;5;6;";"1;6;7;7;";"17;2;13;";2 3 4 5 6
61;"float;3.56";"Z;6;7;9";"8;";Z;"6;0.0;7;3;5";4;"4;5;6;";"4;0;1;2;3;4;";"14;2;13;";1 2 4 5
62;"bool;False";"8;3;8;2";"2;";"1;3;5;7";"4;5;0";[1, 2, 3];"4;2;6;";"4;82;6;47;6;";"11;Z2;13;";2 3
63;"bool;False";"11;0;6;8";"-2;";"9;6;-3;-3";"7;2;8";0246;"4;5;6;";"2;1;6;";"14;2;13;";1 5 6
64;"float;-0.98";"10;2;0;2";"11;";"5;-5;-5";"9;False;2;6;1";1;"4;5;3;";"8;10;11;12;13;14;y;z;";"14;1;13;";1 2 4 5 6
65;"float;-6.00";"7;0;5;1";"14;";"end;-11";"7;0;7;4;9";4680;"4;5;6;";"0;";"11;Z2;13;";1 3 4 5 6
66;Z;"9;7;8;9";"11;";"12;10;8;6";"2;8;2";0000;"4;5;6;";"9;10;11;15;";"12;1;13;";2 3 4
67;"f;f;False";"Z;5;8;0";"8;";"-2;0;2;4;6;6";"5;7;6;9;1";5;"4;2;6;";"3;6;9;0;";"12;1;13;";1 3 4 6
68;"f;f;-1";"Z;2;5;3";"2;";"0;-1;-2;-3;-4;-5;-6;-7;-8;-9;-10;-11;-11;-11";"0;9;7";0000;"4;5;3;";"3;24;0;87;2;66;7;";"14;Z2;13;";1 3
69;"f;2";"7;7;6;1";"3;";-7;"6;0;9";0;"4;5;6;";"3;90;68;43;64;";"14;2;13;";1 2 3 5 6
70;"float;0.50";"11;0;2;4";"13;";2;"7;4.0;1;2;3";6420;"4;5;6;";"0;(35, 9);(75, 9);(69, 0);";"11;Z2;13;";1 3 4 5 6
71;"int;0";"43;3;9;8";"7;";"-14;-11;-8;-8;-8";"6;8;3";[1, 2, 3];"4;5;6;";"2;42;2;60;5;37;0;";"14;1;13;";1 2 3 4 6
72;"f;False";"Z;7;0;4";"5;";"end;Z";"0;Z;2";543216;"4;5;6;";"1;75;15;41;";"12;1;13;";3 4
73;"bool;True";"9;6;3;3";"8;";Z;"4;Z;7";123456;"4;5;3;";"5;(64, 5);(23, 0);";"17;2;13;";1 3 4 5 6
74;"f;f;7";"Z;9;6;3";"7;";"-6;-4;end;-4";"9;2;3;4;1";0;"4;5;6;";"4;5;5;8;";"12;1;13;";1 2 5
75;Z;"7;1;8;2";"3;";Z;"8;6;7;3;0";1;"4;2;6;";"3;10;11;12;a;b;13;14;";"14;2;13;";2 3 5 6
76;"float;15.00";"Z;0;8;4";"3;";13;"4;2;6";5;"4;2;6;";"1;0;1;2;3;4;";"11;Z2;13;";1 2 3 4 5
77;Z;"11;4;7;5";"-1;";"-13;-10;-7;-4;-1;2;2;2";"5;1;9;8;7";0864;"4;5;6;";"4;1;2;3;4;";"17;Z2;13;";1 2 4 6
78;"float;6.75";"10;9;6;4";"6;";Z;"0;True;0;7;8";612345;"4;5;6;";"0;42;8;60;7;65;2;";"11;2;13;";2 3 4
79;Z;"15;1;7;9";"4;";Z;"5;2;1";6;"4;5;6;";"9;10;11;12;13;1;2;";"11;Z2;13;";2 3 4 5 6
80;"float;1.00";"8;0;3;3";"2;";"14;13;12;11;10;9;8;7;0;0";"0;4;9;6;8";654321;"4;5;3;";"4;40;2;52;2;70;9;";"14;Z2;13;";1 2 4 5 6
81;"float;0.43";"22;9;5;3";"6;";"-5;-2;-2;-2";"2;9;1";9;"4;5;6;";"7;90;12;";"14;Z2;13;";2 6
82;"bool;False";"7;6;8;1";"11;";"15;12;9;6;-12;-12";"0;2;4;5;0";[2, 2, 3];"4;2;6;";"6;10;11;12;13;14;b;c;";"11;2;13;";3 4 5 6
83;"float;-1.00";"7;2;4;5";"8;";Z;"6;4;8";[2, 2, 3];"4;5;3;";"4;5;9;7;4;";"11;2;13;";1 2 4 5 6
84;"bool;False";"13;7;7;5";"11;";"end;Z";"4;7;5";0;"4;5;6;";"2;11;82;";"14;Z2;13;";1 2 3 5 6
85;Z;"7;6;2;4";"6;";Z;"9;1;7;1;2";246;"4;5;6;";"1;4;5;1;2;3;4;";"17;1;13;";1 2 3 4 6
86;"f;f;False";"12;0;3;3";"0;";"6;3";"0;Z;3";[1, 2, 3];"4;5;6;";"7;10;11;12;13;14;";"14;Z2;13;";1 4 5
87;"float;24.00";"Z;4;5;9";"-3;";Z;"6;1.0;7;8;9";5;"4;5;6;";Z;"11;Z2;13;";2 4 5 6
88;"bool;True";"6;5;9;2";"9;";Z;"4;0;7";4680;"4;5;6;";"3;(32, 7);(23, 3);";"17;1;13;";4 5 6
89;"float;-3.00";"12;6;4;5";"10;";"3;5;7";"1;4;0";123456;"4;2;6;";"6;51;8;43;5;";"12;Z2;13;";1 3 4 5
90;"bool;False";"12;8;1;5";"13;";Z;"4;6;1;8;9";6;"4;5;3;";"1;2;1;1;";"11;2;13;";1 2 3
91;"float;-8.00";"4;2;1;5";"4;";Z;"4;2;6;9;3";[1, 2, 3];"4;5;3;";"0;";"14;2;13;";2 3 5
92;"float;0.00";"9;8;6;3";"5;";"end;Z";"8;4;5";9;"4;2;6;";"2;53;2;66;6;";"17;Z2;13;";1 2 4 5
93;"f;-9";"Z;2;8;7";"6;";Z;"3;Z;5";0000;"4;5;6;";"1;74;90;48;";"11;Z2;13;";1 2 4 5
94;"f;f;True";"Z;1;0;8";"13;";Z;"2;7;6";5;"4;5;6;";"5;6;9;9;";"17;1;13;";2 5 6
95;"bool;True";"Z;7;5;2";"-1;";"-7;-7";"8;1;1;5;8";654321;"4;5;6;";"3;16;82;34;";"11;Z2;13;";4 5 6
96;"float;0.11";"11;4;1;5";"1;";"-9;-9;-9";"9;3;5";0;"4;5;3;";Z;"14;Z2;13;";3 5 6
97;"bool;True";"6;3;1;1";"12;";Z;"3;7;2;8;1";0864;"4;5;6;";"5;y;z;3;4;";"12;1;13;";3 4 5 6
98;"int;0";"9;3;7;9";"14;";"3;5;9;9";"4;Z;9";0;"4;5;6;";"4;10;11;12;13;14;";"11;Z2;13;";1 3 6
99;"bool;False";"12;5;2;2";"3;";"end;Z";"0;4;9";[2, 3, 4];"4;2;6;";"7;3;6;8;8;";"12;1;13;";2 3 4
100;"bool;True";"Z;1;6;0";"13;";Z;"0;2;1;8;5";1;"4;5;6;";"4;84;55;57;";"17;2;13;";3 4
101;"float;53.33";"Z;6;8;9";"8;";"-3;-1;1;1;1";"6;3;7";4;"4;5;6;";Z;"12;2;13;";2 3
102;Z;"7;8;6;4";"-3;";"13;10;7;7";"9;0;1;3;4";1;"4;5;3;";"6;(81, 4);(55, 7);(43, 2);";"11;2;13;";4 5
103;"bool;False";"10;3;5;2";"7;";Z;"2;Z;0";[2, 2, 3];"4;5;6;";"9;0;x;y;1;2;3;4;";"14;Z2;13;";1 2 3 4 5
104;"float;2.11";"Z;7;5;9";"9;";"end;Z";"2;Z;8";0000;"4;5;6;";"1;10;11;2;3;12;13;14;";"17;2;13;";1 3 4 5
105;Z;"9;0;7;1";"10;";"-12;-12";"9;4;6;3;5";0246;"4;2;6;";"5;";"14;1;13;";1 2 3
106;"bool;False";"9;2;7;0";"5;";Z;"4;0;8;2;4";[2, 2, 3];"4;5;6;";"3;52;40;34;";"17;2;13;";1 2 3 4 5
107;"float;2.00";"10;1;3;4";"6;";"-15;-12;-9;-6;-3;0;3;3;3";"7;1;9";[1, 2, 3];"4;2;6;";"3;57;76;90;";"11;Z2;13;";1 2 3 5 6
108;Z;"15;7;2;6";"2;";Z;"8;True;3;8;7";543216;"4;5;6;";"4;23;43;64;";"14;Z2;13;";2 4
109;"float;15.00";"14;4;5;5";"9;";Z;"6;9;3";[2, 3, 4];"4;5;6;";"8;1;0;4;";"12;1;13;";1 3 6
110;"int;0";"10;1;2;8";"6;";"end;Z";"7;1;2;0;5";0;"4;5;3;";Z;"17;2;13;";1 3 4 6
111;"float;0.00";"9;4;2;2";"12;";"-14;-14";"9;Z;1";612345;"4;5;6;";"6;45;1;50;4;";"12;1;13;";2 6
112;"bool;False";"8;7;4;0";"8;";Z;"3;Z;3";6420;"4;2;6;";"4;85;8;89;8;";"11;Z2;13;";4 5 6
113;"bool;True";"18;3;7;4";"8;";Z;"9;8;8";543216;"4;5;3;";"0;9;4;2;";"17;Z2;13;";3 5 6
114;"f;True";"9;1;7;2";"4;";Z;"3;0;1;6;0";[1, 2, 3];"4;5;6;";"5;4;9;1;";"14;2;13;";1 2 3 4 6
115;Z;"11;4;4;5";"5;";"end;Z";"4;7;3;7;1";[2, 2, 3];"4;5;6;";"4;";"11;Z2;13;";1 2 5 6
116;Z;"6;9;1;0";"11;";"-8;-8";"0;5;6;6;4";6;"4;5;6;";"0;13;";"17;2;13;";1 2 3
117;"bool;False";"10;8;4;1";"13;";-11;"3;Z;7";1;"4;5;3;";"1;10;88;66;";"17;2;13;";2 5
118;Z;"6;1;9;3";"1;";Z;"8;9;7";6420;"4;5;6;";"4;(64, 4);(13, 4);(20, 0);";"12;Z2;13;";1 4 6
119;"float;0.00";"Z;0;8;3";"8;";"7;5;3;1;-1;-3;-3;-3";"4;2.0;6;8;6";[1, 2, 3];"4;5;6;";"7;63;86;";"17;Z2;13;";1 4 5 6
120;"int;1";"9;5;1;7";"13;";Z;"3;False;5;7;1";[1, 2, 3];"4;2;6;";"0;23;61;84;";"14;Z2;13;";1 3 4
121;Z;"9;3;5;9";"6;";"14;12;10;7;7";"1;2.6666666666666665;4;7;2";0;"4;5;6;";"3;4;1;6;";"14;Z2;13;";3 5
122;"f;f;-2";"11;1;9;4";"8;";9;"3;Z;0";0000;"4;2;6;";"2;90;9;25;4;47;9;19;2;";"17;2;13;";1 2 4 5
123;"bool;False";"Z;4;6;4";"9;";"end;Z";"4;8;3;5;7";4;"4;5;3;";"6;0;1;2;3;b;d;";"14;1;13;";1 2 5
124;"int;3";"Z;9;7;2";"8;";Z;"5;2;9";9;"4;5;6;";"0;61;5;19;3;79;7;";"17;2;13;";3 4
125;"float;45.00";"Z;0;2;4";"7;";Z;"4;Z;4";0000;"4;5;6;";"2;4;1;5;";"17;1;13;";3 5 6
126;"int;4";"Z;5;3;6";"3;";Z;"1;9;0";[2, 2, 3];"4;2;6;";"3;82;18;86;40;";"17;2;13;";1 3 5 6
127;Z;"13;2;7;1";"13;";"end;Z";"8;1;3;4;6";0864;"4;5;6;";"8;10;11;12;13;14;";"17;1;13;";2 3 4 6
128;"f;False";"Z;4;3;7";"6;";"6;6";"1;Z;8";0;"4;5;3;";"6;27;86;";"17;2;13;";1 3
129;"f;f;-6";"8;6;5;2";"7;";Z;"4;7;0;4;8";0;"4;5;6;";"1;49;3;30;7;36;0;10;5;";"14;2;13;";1 2 3 4 5
130;"int;0";"9;4;7;0";"1;";Z;"7;3;0";[2, 3, 4];"4;5;6;";"7;0;1;2;a;b;3;4;";"17;2;13;";1 2 4 6
131;Z;"11;5;4;3";"3;";"-7;-7";"3;4.0;6;5;9";612345;"4;2;6;";"4;(36, 6);(87, 8);(59, 5);";"11;2;13;";1 3 4 5 6
132;"float;0.78";"5;1;5;2";"11;";Z;"2;5;0";654321;"4;5;6;";"4;(87, 2);(31, 0);(28, 5);(18, 1);(32, 3);";"12;1;13;";1 3 4
133;"f;f;7";"Z;5;0;4";"3;";"-13;-13";"7;9;4";5;"4;5;3;";"4;86;1;19;3;87;4;51;9;";"14;Z2;13;";1 3 5 6
134;"f;True";"8;8;9;5";"9;";Z;"2;9;0;1;5";5;"4;5;6;";"3;6;2;4;";"17;1;13;";1 2 4
135;"float;-0.67";"Z;8;6;9";"3;";"end;Z";"7;8;7";1;"4;5;6;";"5;70;57;40;";"17;1;13;";2 3 6
136;"bool;True";"7;7;3;9";"1;";"-11;-9;-7;-5;-3;-1;6;6";"1;Z;4";4680;"4;5;3;";"7;9;2;3;9;";"12;1;13;";1 2 4
137;"bool;False";"10;2;4;5";"7;";Z;"0;8;3";[2, 3, 4];"4;2;6;";"0;10;11;12;13;14;";"14;1;13;";1 2 3
138;"float;16.80";"10;0;8;1";"-1;";-1;"9;0;2;7;1";123456;"4;5;6;";"3;59;7;72;9;22;8;";"17;1;13;";2 3 4
139;"bool;False";"9;0;8;7";"2;";13;"3;4.0;6;9;7";246;"4;5;6;";"2;4;1;4;2;";"14;2;13;";3 5
140;"float;1.00";"9;2;5;3";"2;";Z;"5;2;0";0246;"4;5;6;";Z;"14;Z2;13;";2 4 6
141;"bool;False";"10;7;9;5";"6;";"14;14";"2;7;5;0;4";[1, 2, 3];"4;2;6;";"1;81;24;39;";"17;2;13;";2 4 6
142;"float;-0.06";"8;9;5;1";"5;";"6;5;4;3;2;1;0;-1;-2;end;-2";"9;0;4";246;"4;5;3;";"0;11;19;";"12;1;13;";3 5
143;"int;-17";"9;6;6;4";"9;";Z;"6;False;9;8;2";1;"4;5;6;";"6;73;63;21;32;";"17;1;13;";1 2 3 5 6
144;"f;-4";"Z;8;9;7";"-1;";Z;"8;9;4";4680;"4;5;6;";"0;29;82;21;";"14;2;13;";2 6
145;"int;0";"Z;3;2;1";"9;";Z;"7;1;4;3;1";543216;"4;5;6;";"1;9;1;5;1;";"11;Z2;13;";2 3 6
146;"float;0.00";"8;9;4;2";"5;";"-12;-12";"9;5;2;4;8";0;"4;2;6;";"3;23;69;87;";"12;2;13;";2 3 6
147;"f;False";"12;2;1;5";"13;";Z;"1;7;6";[2, 3, 4];"4;5;6;";"6;10;11;12;13;1;2;";"12;Z2;13;";2 5
148;"bool;True";"Z;1;9;0";"11;";"end;Z";"2;3.0;2;0;8";[2, 2, 3];"4;5;6;";"4;35;9;65;5;45;2;";"17;1;13;";1 2 3 5
149;"float;2.00";"Z;6;4;7";"5;";Z;"7;True;5;4;2";0;"4;5;3;";"5;0;";"14;2;13;";1 2 4 6
150;"f;False";"6;8;3;9";"14;";"5;7;9;11;-6;-6";"3;Z;8";612345;"4;5;6;";"4;1;0;11;12;13;14;";"17;1;13;";1 3 5 6
151;"bool;True";"Z;9;7;6";"9;";Z;"5;0.3333333333333333;8;6;0";0000;"4;5;6;";"3;2;3;0;1;2;3;4;";"17;2;13;";2 4 6
152;"bool;False";"Z;3;4;8";"-1;";15;"2;True;7;6;2";0;"4;2;6;";"4;32;6;50;2;42;9;61;7;63;5;";"12;1;13;";2 3 5
153;"bool;True";"Z;6;5;0";"3;";Z;"1;0;0";5;"4;5;3;";"6;10;11;12;13;14;";"17;2;13;";1 2 6
154;"f;9";"10;3;7;1";"8;";"-12;-9;-6;9;9";"2;3;8;9;1";9;"4;5;6;";"5;(69, 7);(18, 9);(52, 8);";"11;2;13;";1 3 4 6
155;"f;-8";"9;4;9;4";"9;";-3;"5;Z;0";123456;"4;5;6;";"8;0;1;2;3;4;y;z;";"12;2;13;";1 3 4 5 6
156;"bool;True";"18;9;8;3";"3;";"15;14;13;12;11;10;9;8;7;6;5;1;1";"1;4;5;6;7";654321;"4;5;3;";"2;75;4;77;9;84;4;70;2;";"14;Z2;13;";1 2 3 5 6
157;"float;2.00";"6;0;1;3";"6;";Z;"5;8;4";6420;"4;5;6;";"2;4;5;";"11;2;13;";1 3 4 5
158;"bool;True";"Z;5;0;7";"7;";"12;12";"0;False;4;3;0";0246;"4;5;6;";"7;34;20;78;";"14;1;13;";2 4
159;"float;4.00";"14;0;5;5";"13;";Z;"6;9;1;3;1";4;"4;5;6;";"5;43;84;65;59;";"11;Z2;13;";2 4 5
160;"float;0.00";"6;9;1;4";"11;";"-5;-5";"9;5;7";[1, 2, 3];"4;2;6;";"3;79;5;82;0;";"14;2;13;";2 4 5
161;"float;1.20";"9;2;6;7";"11;";-2;"6;Z;2";6;"4;5;3;";Z;"11;1;13;";2 3 4 6
162;"bool;False";"10;5;1;3";"9;";"end;8";"0;3;4;9;8";1;"4;5;6;";"4;x;y;0;1;2;3;4;";"12;1;13;";1 4 5 6
163;"float;1.06";"12;0;9;3";"11;";Z;"1;3;6;4;1";[1, 2, 3];"4;5;6;";"6;5;5;4;0;";"14;1;13;";1 3 5 6
164;Z;"Z;9;2;3";"-3;";"7;10;13;end;13";"3;8;4";5;"4;5;6;";"6;10;11;12;13;14;";"17;2;13;";2 3 5
165;"f;f;True";"8;5;6;5";"3;";Z;"6;4;7";0864;"4;2;6;";"4;5;4;6;1;7;";"14;2;13;";1 2 3 4 6
166;"bool;False";"8;9;4;1";"11;";0;"5;0;8";0000;"4;2;6;";"3;(75, 8);(88, 4);";"17;2;13;";1 3 4 5
167;"float;0.00";"15;2;4;6";"9;";Z;"3;9.0;5;0;7";[2, 2, 3];"4;5;6;";Z;"14;2;13;";1 3 4 6
168;Z;"Z;8;3;0";"5;";"7;4;1;1;1";"4;7;8";[2, 3, 4];"4;5;6;";"7;51;39;17;";"17;1;13;";1 2 5
169;"bool;True";"14;3;4;5";"8;";"end;-8";"3;Z;8";[1, 2, 3];"4;5;3;";"0;5;9;0;5;";"12;1;13;";2 3 4 5 6
170;"float;2.00";"Z;2;4;7";"6;";"-13;-14;-14;-14";"2;9;5;3;6";4680;"4;5;6;";"5;4;6;6;";"17;1;13;";3 6
171;"bool;False";"8;1;5;8";"6;";"-6;-9;3;3";"8;2;7;0;4";0000;"4;5;6;";"7;16;90;70;";"17;1;13;";2 3 4 5 6
172;"bool;False";"9;3;2;9";"1;";Z;"1;2;0";6;"4;5;6;";"1;(63, 4);(49, 5);(51, 6);";"17;1;13;";3 6
173;"f;f;True";"6;7;6;2";"1;";Z;"1;3;8";1;"4;2;6;";"4;0;4;";"14;Z2;13;";1 4
174;"bool;True";"10;4;5;1";"11;";Z;"4;3;1";[2, 3, 4];"4;5;6;";"3;10;11;13;14;";"14;1;13;";3 4
175;"int;0";"9;1;4;8";"2;";Z;"6;2;6;4;5";5;"4;5;3;";"3;9;9;4;";"12;Z2;13;";2 5 6
176;"bool;True";"Z;3;6;1";"8;";Z;"9;7;8";654321;"4;5;6;";"2;36;1;45;0;60;3;";"11;2;13;";1 2 6
177;"f;f;-4";"Z;6;9;5";"13;";Z;"3;Z;4";0;"4;5;6;";"4;2;0;8;0;";"17;2;13;";1 3 4
