var;1;2;3;4;5;6;7
22;R 10;R;R5 4 3 2 1 6;R 0;R [9, 8, 7, 6, 5, 4, 3, 2, 1, 0];R [10, 11, 12, 13, 14, [2, 3]];R [12, '1', '2', '3', '4']
23;R 5;R;R6 1 2 3 4 5;R 1;R;R ['0', '2', '3', '4'];R [10, 11, 12, 13, 14, 2, 3]
24;R 1;R -13 -13 -10 -10 -7 -7;R6 5 4 3 2 1;R ERROR;R ('6', '8');R [10, 11, 12, 13, 14, '12'];R ['0', '1', '2', '3', '4']
25;R 4;R;R [1, 2, 3];R 0;R ();R ERROR;R [10, 11, 12, 13, 14]
26;R 12;R;R [2, 3, 4];R 2;R 987654;R ERROR;R ['1', '0']
27;R 1;R -10 -10 -8 -8 -6 -6 -4 -4 -2 -2 0 0 2 2 4 4;R6;R c;R ['9', '7', '5', '3', '1'];R [10, 11, 12, 13, 14, 1, 2];R [10, 11, '1', '1']
28;R 7;R;R1;R 1;R ();R 1 ['0', '2', '3', '4'];R []
29;R 12;R 6 6 4 4;R9;R ERROR;R ();R 4 ['0', '1', '2', '3'];R [10, 11, 12, 13, 14, '1', '2']
30;R -1;R;R0;R a;R [];R [10, 11, 12, 13, 14, [1, 0]];R ['0', '1', 1, 2, '3', '4']
31;R 8;R;R6 4 2 0;R c;R (0, 2, 4, 6, 8);R [10, 11, 12, 13, 14, '1', '0'];R ['0', '1', '2', '3', '4']
32;R 6;R;R [2, 3, 4];R ERROR;R [9, 6, 3];R ERROR;R [4, 5]
33;R 8;R 7 7 6 6 5 5 4 4 3 3 2 2 1 1 0 0 -1 -1 -2 -2 -3 -3 -4 -4 -5 -5;R6 5 4 3 2 1;R 1;R [];R [10, 11, 12, 13, [1, 0], 14];R [10, 11, 12, 13, 14]
34;R -2;R;R4 6 8 0;R ERROR;R 765432;R ['0', '1', '2', '3', '4', 1, 2];R ['0', '1', '2', '3', '4']
35;R 2;R;R6 1 2 3 4 5;R 2;R ('0', '3');R ERROR;R ['1', '0', '0', '1', '2', '3', '4']
36;R 7;R;R5;R c;R [5, 4];R 13 [10, 11, 12, 14];R [10, 11, 12, 13, 14]
37;R 9;R;R5;R a;R 47;R ['0', '1', '2', '3', '4', '1', '1'];R ['1', '3', '1', '2', '3', '4']
38;R 14;R;R1;R ERROR;R ['9'];R ERROR;R [10, '1', '1']
39;R 7;R 5 5 2 2 -1 -1;R [1, 2, 3];R c;R (1,);R ERROR;R [11, 12, 13, 14]
40;R 8;R;R [2, 3, 4];R b;R ();R [10, 11, [4, 5], 12, 13, 14];R ['0', '1', '2', '3', '4', 1, 2]
41;R 13;R;R [1, 2, 3];R 3;R ();R ['0', '1', '2', '3', '4', '1', '0'];R ['0', '1', '2', 15, '3', '4']
42;R 9;R;R0;R ERROR;R [0, 2, 4, 6, 8];R [10, 11, 12, 13, 14, 20];R []
43;R 2;R;R [2, 3, 4];R d;R ['7', '4', '1'];R ERROR;R [10, 11, 12, 13]
44;R -2;R 2 2 0 0;R5 4 3 2 1 6;R ERROR;R ();R ['0', '1', '2', '3', '4', '12'];R ['0', '1', '2', '3', '4', 1, 0]
45;R 1;R;R0 0 0 0;R 0;R;R [10, 11, 12, 13, 14, [2, 3]];R [4, 5]
46;R 5;R;R [1, 2, 3];R 1;R [6, 3, 0];R ERROR;R ['0', '1', '2', '2', '3', '4']
47;R 10;R;R1;R b;R 97531;R [10, 11, 12, 13, 14, '1', '3'];R ERROR
48;R 7;R;R0 0 0 0;R d;R ();R 1 ['0', '2', '3', '4'];R [10, 11, 13, 14]
49;R 7;R;R1 2 3 4 5 6;R ERROR;R ();R [10, 11, 12, 13, 14, 1, 2];R [2, 3, '0', '1', '2', '3', '4']
50;R 7;R;R0;R ERROR;R ['0', '2', '4', '6', '8'];R ['0', '1', '11', '2', '3', '4'];R ['1', '3', 12, 13, 14]
51;R 7;R;R [1, 2, 3];R e;R [];R 14 [10, 11, 12, 13];R ['0', '1', '2', '3', '4']
52;R 6;R 9 9 8 8 7 7 6 6 5 5 4 4;R0 8 6 4;R d;R ['5'];R ERROR;R [10, 11, 12, 13, 14]
53;R 12;R -15 -15 -12 -12 -9 -9 -6 -6 -3 -3 0 0 3 3;R6;R ERROR;R (0, 3, 6, 9);R ERROR;R ERROR
54;R 13;R 6 6;R4;R e;R 468;R [10, 11, 12, 13, 14, 4, 5];R ['1', '1', '0', '1', '2', '3', '4']
55;R 8;R;R [2, 3, 4];R e;R ('9', '8', '7', '6', '5', '4');R [10, 11, 12, 13, 14, '1', '0'];R [10, 11, 12, 14]
56;R -1;R;R0 2 4 6;R a;R ();R ['0', '1', '2', '3', '4', '13'];R [1, 0, '4']
57;R 12;R -14 -14 -11 -11 -8 -8 -5 -5 -2 -2 1 1 4 4 7 7;R [2, 3, 4];R 4;R;R [10, 11, 12, 13, 14, 17];R ['1', '2']
58;R 5;R;R [2, 3, 4];R ERROR;R [];R 0 ['1', '2', '3', '4'];R ['0', '1', '1', '0', '2', '3', '4']
59;R 10;R;R4 6 8 0;R 1;R ['2', '5', '8'];R ['0', '1', '2', '3', '4', 1, 0];R [10, 11, 12, 13, 14]
60;R 2;R;R6 5 4 3 2 1;R ERROR;R ();R ERROR;R ['0', '1', '2', '3', '4', 14]
61;R 2;R;R [1, 2, 3];R c;R [0, 3, 6, 9];R [10, 11, 12, 13, 14, '1', '2'];R [10, 11, 12, 13]
62;R -3;R;R1;R b;R 0;R ERROR;R ['0', '1', '2', 1, 2]
63;R 14;R;R0 0 0 0;R b;R ('9', '6', '3', '0');R ['0', [2, 3], '1', '2', '3', '4'];R ['0', '1', '2', '3', '4']
64;R 10;R 4 4 1 1 -2 -2 -5 -5 -8 -8 -11 -11;R5;R ERROR;R (9, 7);R [10, 11, 12, 13, 14, 18];R [10, 2, 3, 11, 12, 13, 14]
65;R 5;R;R0 2 4 6;R ERROR;R [];R ['0', '1', '2', '3', '4', '1', '1'];R ['0', '1', '2', '3']
66;R 6;R -4 -4 -5 -5 -6 -6 -7 -7 -8 -8 -9 -9 -10 -10;R6;R ERROR;R ['0', '3', '6'];R 12 [10, 11, 13, 14];R [4, 5, 11, 12, 13, 14]
67;R 8;R;R5 4 3 2 1 6;R e;R ();R ['0', '1', '2', '3', '4', '1', '0'];R ['1', '3']
68;R 4;R;R0;R 1;R 86420;R ERROR;R []
69;R 8;R;R0;R c;R (7, 4, 1);R [10, 11, 12, [4, 5], 13, 14];R [10, '1', '0', 11, 12, 13, 14]
70;R 9;R end -14 end -12 end -10 end -8 end -6 end -4 end -2 end 0 end 2;R [1, 2, 3];R c;R [];R ERROR;R ['0', 1, 2, '1', '2', '3', '4']
71;R 8;R;R1 2 3 4 5 6;R 0;R [];R 3;R [10, 11, 12, 13, 14]
72;R 14;R;R [1, 2, 3];R ERROR;R (9, 6, 3, 0);R [10, 11, 12, 13, 14, '1', '2'];R ['0', '1', '2', '3', '4', 2, 3]
73;R 3;R;R4;R b;R ('9', '7', '5', '3', '1');R [10, 11, 13, 14];R ['0', '1', '1', '2']
74;R 1;R 12 12 11 11 10 10 9 9 8 8 7 7 6 6;R5;R ERROR;R ['1', '0'];R ERROR;R [10, 11, 12, 13, 14]
75;R 5;R;R0 0 0 0;R d;R 9;R [10, 11, 12, 13, 14, 2, 3];R ['3', '4']
76;R 0;R -7 -7 -5 -5 -3 -3 -1 -1 1 1 3 3 5 5 7 7;R [2, 3, 4];R 0;R ('9',);R ['0', '1', '2', '3', '4', '13'];R [13, 11, 12, 13, 14]
77;R 9;R 8 8;R6 4 2 0;R 2;R [];R ['0', [1, 0], '1', '2', '3', '4'];R ['0', '1', '2', '3', '4', '1', '1']
78;R 2;R;R0;R b;R (0, 2, 4, 6, 8);R [10, 11, 12, 13, 14, 1, 2];R [13, 14]
79;R 8;R;R0 8 6 4;R a;R [9, 8, 7, 6, 5, 4, 3];R [10, 11, 12, 13, 14, '11'];R ['0', '1', '2', '3', 1, 0]
80;R 0;R end 3 end 0 end -3 end -6 end -9 end -12;R [1, 2, 3];R ERROR;R;R ['0', '1', '2', '3', '4', '13'];R ERROR
81;R 11;R;R9;R ERROR;R;R 14 [10, 11, 12, 13];R ['0', '1', '2', '3', '4']
82;R 13;R;R1;R a;R [];R ERROR;R []
83;R 14;R;R6 1 2 3 4 5;R e;R ('5', '3', '1');R ['0', '1', '2', '3', '4', 1, 2];R [4, 5, 14]
84;R 7;R;R [2, 3, 4];R ERROR;R (9, 8, 7, 6, 5, 4, 3, 2, 1, 0);R ERROR;R ['1', '3']
85;R 7;R;R [2, 3, 4];R a;R [];R [19, 10, 11, 12, 13, 14];R [10, 11, 12, 13, 14]
86;R 6;R 7 7 6 6 5 5 4 4 3 3 2 2 1 1 0 0 -1 -1 -2 -2;R0 2 4 6;R 3;R [3, 1];R 0 ['1', '2', '3', '4'];R ['0', '1', '2', 1, 0]
87;R 10;R;R6 5 4 3 2 1;R ERROR;R ();R ['0', '1', '2', '3', '4', 4, 5];R [10, 11, 12, 13, 14]
88;R 11;R;R9;R 0;R ['0', '3'];R 1;R ERROR
89;R 14;R;R4;R ERROR;R (0, 2, 4);R ['0', '1', '2', '3', '4', [2, 3]];R [10, 11, 12, 13, 14]
90;R 11;R;R6 1 2 3 4 5;R c;R;R ERROR;R ['1', '2', '4']
91;R -1;R;R [2, 3, 4];R b;R 147;R ['0', '1', '2', '3', '4', 1, 0];R ['0', '1', '2', '3', '4', '1', '1']
92;R 7;R;R [1, 2, 3];R ERROR;R (8, 7, 6, 5, 4, 3, 2, 1, 0);R 0;R []
93;R 10;R;R0;R ERROR;R ['0', '2', '4', '6', '8'];R ERROR;R [2, 3, 10, 11, 12, 13, 14]
94;R 5;R;R4 6 8 0;R ERROR;R [9];R [10, 11, 12, 13, 14, '1', '0'];R ['0', 14]
95;R 5;R end -3 end -1 end 1 end 3 end 5;R [1, 2, 3];R e;R ('2',);R [10, 11, 12, 13, 14, '1', '2'];R ['0', '1', '2', '3', '4', '1', '0']
96;R 0;R;R6 4 2 0;R b;R (7,);R ['0', '1', '2', '3', '4', [2, 3]];R [10, 11, 12]
97;R 9;R -8 -8;R0 0 0 0;R 2;R [7];R 2 ['0', '1', '3', '4'];R [10, 11, 12, 13, 14, 1, 2]
98;R 11;R;R [1, 2, 3];R 1;R 987;R [[4, 5], 10, 11, 12, 13, 14];R [4, 5]
99;R 2;R 14 14 11 11 8 8 5 5;R6;R e;R [];R ['0', '1', '2', '3', '4', [1, 2]];R [10, 11, 12, 13, 14]
100;R 4;R;R1;R ERROR;R ('0',);R [10, 11, 12, 13, 14, '1', '2'];R ['0', '1', '2', '3']
101;R 6;R;R0 8 6 4;R ERROR;R 9630;R 12 [10, 11, 13, 14];R ['1', '3', '2', '3', '4']
102;R 1;R;R5 4 3 2 1 6;R 1;R ();R ERROR;R ['1', '2', 13, 14]
103;R 7;R;R [1, 2, 3];R c;R ('0', '3');R ['13', '0', '1', '2', '3', '4'];R [1, 0, 10, 11, 12, 13, 14]
104;R 8;R 7 7;R [2, 3, 4];R a;R [];R [10, 11, 12, 13, 14, 1, 0];R ['0', '1', '2', '3', '4']
105;R 13;R;R0 0 0 0;R ERROR;R [];R ERROR;R ['0', '1', '2', '3', '4', '1', '1']
106;R 11;R;R5;R ERROR;R 579;R [10, 11, 12, 13, 14, '11'];R [12]
107;R 0;R;R [2, 3, 4];R b;R [];R ERROR;R [1, 2, 12, 13, 14]
108;R -1;R;R5;R 1;R ['9', '8', '7', '6', '5', '4', '3', '2', '1', '0'];R ['0', '1', '2', '4'];R ['0', '1', '2', '3', '4']
109;R 6;R;R1 2 3 4 5 6;R 4;R ('9', '6', '3');R 13 [10, 11, 12, 14];R [14]
110;R 12;R 9 9 7 7 5 5;R0;R d;R ();R ['0', '1', '2', '3', '4', '1', '0'];R ['0', '1', 2, 3, '4']
111;R 5;R -2 -2 -3 -3 -4 -4 -5 -5 -6 -6 -7 -7 -8 -8 -9 -9 -10 -10;R0;R a;R ();R [10, 11, 12, [4, 5], 13, 14];R [10, '1', '0', 11, 12, 13, 14]
112;R 3;R end -10 end -8 end -6 end -4 end -2 end 0;R1;R ERROR;R [];R ERROR;R ['0', '1', '2', '3', '4']
113;R 4;R;R [2, 3, 4];R ERROR;R;R ERROR;R ERROR
114;R 7;R;R0 0 0 0;R 2;R ('3', '2', '1', '0');R [10, 11, 12, 13, '10', 14];R []
115;R 9;R;R6 5 4 3 2 1;R ERROR;R ['0', '3', '6', '9'];R [10, 12, 13, 14];R ['0', '1', '2', 4, 5, '3', '4']
116;R 4;R 6 6 8 8 10 10 12 12;R5;R 1;R ();R ['0', '1', '2', '3', '4', 2, 3];R [10, 11, 12, 13, 14, 1, 0]
117;R 7;R;R6 1 2 3 4 5;R b;R [];R ['0', '1', '2', '3', '4', '12'];R []
118;R 10;R end -5;R9;R b;R ['0', '3', '6'];R ERROR;R [2, 3, '0', '1', '2', '3', '4']
119;R 7;R;R1;R 1;R (9, 8, 7, 6, 5, 4, 3, 2, 1, 0);R 4 ['0', '1', '2', '3'];R [10, 11]
120;R 11;R 13 13 11 11 9 9 7 7 5 5;R6;R 3;R;R [10, 11, 12, 13, 14, 1, 0];R ['1', '1', '0', '1', '2', '3', '4']
121;R 6;R 8 8 10 10;R [2, 3, 4];R ERROR;R [];R ['0', '1', '11', '2', '3', '4'];R ['0', '1', '2', '3', '4']
122;R 9;R;R [1, 2, 3];R a;R (9, 7, 5, 3, 1);R ERROR;R [10, 11, 12, 13, '1', '2']
123;R 3;R 0 0;R [1, 2, 3];R ERROR;R ();R ERROR;R ['0', '1', '2', '3', '4']
124;R 1;R;R4;R 0;R [];R ['0', '1', '2', '3', '4', '13'];R [13, 11, 12, 13, 14]
125;R 13;R;R0;R e;R 9876543210;R ERROR;R []
126;R 13;R;R [2, 3, 4];R ERROR;R [];R [10, 11, 12, 13, 14, 1, 2];R [10, '1', '3', 14]
127;R 5;R;R [1, 2, 3];R e;R 4;R ['0', '1', '2', '3', '4', [1, 2]];R ERROR
128;R -2;R;R5 4 3 2 1 6;R d;R ();R 14 [10, 11, 12, 13];R ['1', '0', '0', '1', '2', '3', '4']
129;R 12;R 4 4 1 1 -2 -2 -5 -5 -8 -8 -11 -11;R6 4 2 0;R ERROR;R ();R [10, '11', 11, 12, 13, 14];R ['0', '1', '2', '3', '4']
130;R 13;R;R1;R b;R [9, 8, 7, 6, 5, 4, 3, 2, 1, 0];R ['0', '1', '2', '3', '4', '1', '3'];R [10, 11, 12, 4, 5, 13, 14]
131;R 9;R;R5;R b;R ();R ['0', '1', '2', '3', '4', 1, 0];R ['0', '1', '2', '3', '4']
132;R 3;R -14 -14 -12 -12 -10 -10 -8 -8 -6 -6;R0;R 0;R ('9',);R ERROR;R [10, 11, 12, 13, 14, 1, 2]
133;R 14;R;R0 2 4 6;R ERROR;R [];R ERROR;R ['1', '1']
134;R 12;R end 1 end -1 end -3 end -5 end -7 end -9;R [1, 2, 3];R e;R ['0', '2', '4', '6', '8'];R ERROR;R ERROR
135;R 6;R 8 8;R1 2 3 4 5 6;R a;R 0369;R ['0', '1', [4, 5], '2', '3', '4'];R ['2', '3', '4']
136;R 1;R 6 6;R0;R c;R [];R [11, 12, 13, 14];R [4, 5, 12, 13, 14]
137;R 8;R -9 -9 -6 -6 -3 -3 0 0 3 3;R [2, 3, 4];R d;R 9876;R [10, 11, 12, 13, 14, '1', '0'];R [1, 0]
138;R 5;R;R0 8 6 4;R ERROR;R [];R ERROR;R ['0']
139;R 9;R;R0 0 0 0;R 2;R ();R [10, 11, 12, 13, 14, [2, 3]];R [10, 11, 12, '1', '0', 13, 14]
140;R 8;R;R4 6 8 0;R ERROR;R ();R ['0', '1', '2', '3', '4', '1', '2'];R ['0', '1', '2', '3', '4']
141;R -1;R 8 8;R5 4 3 2 1 6;R 1;R [8];R ['0', '1', '2', '3', '4', 16];R [10, 11, 12, 13, 14, 1, 2]
142;R 9;R 3 3;R0 0 0 0;R ERROR;R ();R [10, 11, 12, 13];R ['2', '3', '4']
143;R 6;R -7 -7 -9 -9 -11 -11;R9;R 1;R ();R ['0', '1', '2', '3', '4', 4, 5];R ['1', '2', 10, 11, 12, 13, 14]
144;R 7;R;R4;R 1;R 31;R 11 [10, 12, 13, 14];R ['0', '1', '2', '3', 2, 3]
145;R 6;R 12 12 11 11 10 10 9 9 8 8 7 7 6 6;R0;R 1;R [];R 2;R [13, 13, 14]
146;R 11;R 7 7 6 6 5 5 4 4;R0 8 6 4;R c;R (3,);R [10, '12', 11, 12, 13, 14];R ['0', '1', '2', '3', '4']
147;R 14;R 15 15 13 13 11 11 9 9;R [2, 3, 4];R ERROR;R 02468;R ['0', '1', '2', '3', '4', 2, 3];R ['0', '1', '2', '3', '4']
148;R 11;R end -8 end -6 end -4 end -2 end 0;R1 2 3 4 5 6;R ERROR;R [];R ERROR;R ['1', '3', 10, 11, 12, 13, 14]
149;R 7;R;R4 6 8 0;R a;R ();R [10, 11, 12, 13, 14, '1', '0'];R ['0', 2, 3]
150;R 8;R;R [1, 2, 3];R e;R [];R 1 ['0', '2', '3', '4'];R [12, 13, 14]
